SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.383699569557427	0	0	0	0.121422162885463	1.54646305675407	0.189879543541315	0	0	0	0.538022083850937	0.670006308400702	0	0	0	0.264513161838219	0	1.10081506356159	0	0.580520313471853	0	0	0	0.0527063505160029	0.11069829749369	0	2.73906168005837	0	0	0.207608310501746	2.12014919329238
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.71194322230421	0	0	0	0.648517392566964	2.60969766107384	0	0	1.33536082633472	0	2.06191435230283	2.19803596898701	0	0.998596785590562	1.03755500644338	1.35682742315713	0	2.11448184522382	0.605548319173784	1.7395978619143	0.131887596563628	0.490909539205296	1.31004201618308	0	0.43805723188002	0	0.0527063505160029	0	0	1.91517848659968	0.499864381858222
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.35682742315713	0	0	0	0.347487396902983	2.57782523131764	0	0	0.915178486599682	0	1.12668640287782	1.81291335664286	0	1.26068675398517	1.05518096964386	1.04011722320798	0	2.2405492482826	0.347487396902983	1.87915139576432	0.286789556549371	0.321551662808583	1.29751342194114	0	0.264513161838219	0	0.314818280149614	0	0	1.61652633134853	0.406265397456169
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.56592395058394	0	0	0	0.272066299728665	2.54951743068151	0	0	1.31209542181414	0	1.47665402015937	1.89868980262471	0	1.37017271702477	1.15011241666983	1.44161912808893	0	2.28410311551147	0.207608310501746	1.80288402230385	0.427716398541801	0.301029995663981	1.1329204020014	0	0.286789556549371	0	0.0271522460436148	0	0	1.75018478676228	0.272066299728665
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.70259728418491	0	0	0	0.216208482263664	2.74567909754492	0	0	0.710035430486179	0	1.54686094453445	2.0723566461314	0	1.63671431883444	1.4144341865336	1.15011241666983	0	2.30500446114325	0.198834386194241	1.61821685307011	0.417123325044377	0.453120978315896	1.13906618119075	0	0.660926650548784	0	0.0997029131922265	0	0	2.07116907502799	0.427716398541801
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.45558157686355	0	0	0	0.400732908856208	2.57414332926412	0	0	0.915178486599682	0	1.6328163616404	1.80288402230385	0	1.35124754577629	1.36415746183353	1.12563864728663	0.171396137847301	2.17860567607423	0	1.55042562513748	0.347487396902983	0.0997029131922265	0.800894377522203	0	0.314818280149614	0	0.353736346179984	0	0	2.00167789448338	0.365970802596996
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.52063142082498	0	0	0	0.51295967994837	2.57518784492766	0	0	1.2474188646501	0.0401172232079824	0.800894377522203	0.957344626070807	0	1.37076968547876	0.89780439053026	1.48130389843184	0	2.39315046535612	0.0527063505160029	1.95205776794854	0.629212237371577	0.328182241707596	1.25136343747043	0	0.152090982651915	0	0	0	0	1.79755791182745	0.477121254719662
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.5277545966128	0	0	0	0.301029995663981	2.46259118939765	0	0	0.712758288821652	0	1.80420540612821	1.88866855413356	0	1.15602127628035	0.495410040431972	0.805303496427258	0	2.04721203997258	0.411728293157671	1.57645281732757	0.189879543541315	0.432917592227609	0.926939597485473	0	0.462880815605052	0	0.353736346179984	0	0	2.02530586526477	0.347487396902983
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.42032846491959	0	0	0	0.279490317807871	2.55564043668423	0	0	1.05021755011231	0	1.3743343660818	1.86120669234504	0	1.59034557626308	1.19616726738036	1.27653592218382	0	2.3169168157485	0.422452158549444	1.85184989634547	0.395129031338209	0.341147218871964	0.906578314837765	0	0.256826333171928	0	0.314818280149614	0	0	1.95981046367827	0.6904818941105
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	1.34496242187248	0	0	0	0.264513161838219	2.23266827910133	0	0	0.660926650548784	0	1.70036869952858	1.7393426197783	0	0.862746745313128	0.749187554448327	0.481766159765426	0.142106761745314	1.94496000630546	0.293968141176494	1.39905932496664	0.207608310501746	0.272066299728665	0.951118075230176	0	0.443136757409295	0	0.400732908856208	0	0	1.27056614458626	0
