SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia	d__Bacteria.p__Bacteroidota.c__Bacteroidia	d__Bacteria.p__Campilobacterota.c__Campylobacteria	d__Bacteria.p__Deferribacterota.c__Deferribacteres	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia	d__Bacteria.p__Firmicutes.c__Bacilli	d__Bacteria.p__Firmicutes.c__Clostridia	d__Bacteria.p__Patescibacteria.c__Saccharimonadia	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae	Other
S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.96040281814414	1.02996322337744	3.05565131804682	2.49485002168009	1.7154063751808	1.27711783825857	2.65479514613498	2.76614717482057	1.55370969018901	0	0.83614319736133	1.14390657568428	0.723103684052738	0.234083206033368
S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.96108193396963	0	0.798354636471931	0	0	0	0.301029995663981	0.2518119729938	0	0	3.04316572020745	0	0	2.55483514248131
S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.895264649479987	0	0.372385904199649	0.176091259055681	0	0	0.922057826067924	0.686380877027998	0	0	3.13879875131205	0	0	2.64891733474289
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.870905303620542	0	1.48935571113667	0	0	0	1.05252905127618	0.705130313040837	0	0	3.05725845598224	0	0.316269962220718	2.56483508331704
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.359021942641668	0	0.285235728480749	0	0	0	0.525969822257479	0	0	0	2.92773688722476	0	0	2.36522047981197
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.646263653820016	0	0.2518119729938	0	0	0	0.728933227713462	0	0	0	3.03120641982746	0	0	2.50135273749544
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.822354912875697	0	0.330993219041424	0.803261970966675	0.109144469425068	0	0.466655821041497	0.196294645143968	0	0	2.92146351262327	0	0	2.51945295533972
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.95767568527772	0.646263653820016	2.92604830880073	0.132625565274591	0	0	2.71096311899528	2.77830632786499	0	0	1.14612803567824	0	2.0981490851236	0.552841968657781
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.96040281814414	0.578147833922551	3.02938377768521	0.234083206033368	0	0	2.75880379171741	2.82062362837314	0	0	1.64274708009718	0	2.01583858068584	0
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.91907809237607	0.692721055059017	2.94645226501307	0	0	0	2.61579980274229	2.71102346700926	0	0	1.37106786227174	0	2.21710776880546	0
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.4802123316968	0.91832995354868	2.89392020586922	0	0	0	2.18020782525051	2.77758215871832	0	0	1.049771616731	0	2.24692043073854	0
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.99122607569249	0.914569804675374	2.96604111232342	0.176091259055681	0	0	2.7104800327587	2.9044836948513	0.285235728480749	0	1.03284891161493	0	1.68956253581419	0.617299957884699
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.98000337158375	0.870905303620542	2.93862692750112	0.215599800339355	0	0	2.71962718839321	2.78134498531704	0.301029995663981	0	1.34523365815603	0	2.23245154043754	0
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.73411374021724	0.840643698588007	2.78543153141257	0	0	0	2.32310470682837	2.68388290025788	0	0	1.27217325564151	0	2.2535456858028	0.822354912875697
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.80032422933483	0.692721055059017	2.91453203829578	0	0	0	2.41983778176843	2.79048622629697	0	0	1.33674554793052	0	1.65252260976703	0
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.91758052371318	0.594234653816006	2.96844959132193	0	0	0	2.60229258678933	2.93887696339841	0	0	1.30412107264112	0	1.80277372529198	0.879177829586532
