SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Corynebacteriales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Propionibacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
P731SA8-S163	WT	Pan-SA8	Pancreatic	Yes	Cocktail	Post	Smoke+Antibiotic	302.79	34.09	Abx-Pancreatic	0.00192551748282351	0	0	0	0.000437617609732616	0.0463874666316573	0.000743949936545447	0	0	0	0.00332589383396788	0.00498884075095182	0	0	0	0.0011378057853048	0	0.0157542339503742	0	0.00380727320467376	0	0	0	0.000175047043893046	0.000393855848759354	0	0.742549560194302	0	0	0.00083147345849197	0.177541464268522
P731SM1-S138	WT	Pan-SM1	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0465295935345852	0	0	0	0.00317922510102211	0.374049203708106	0	0	0.0190159258378892	0	0.105300689327312	0.144402186831471	0	0.00826004278583314	0.00912170192536249	0.0200261468980271	0	0.118968386023295	0.00279296410743998	0.0496493938673639	0.000326836225338721	0.00193130496791063	0.0178868552412646	0	0.0016044687425719	0	0.000118849536486808	0	0	0.0748454956025671	0.00199072973615403
P731SM10-S147	WT	Pan-SM10	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0260372402070617	0	0	0	0.00146797496716372	0.451827242524917	0	0	0.00865332612222823	0	0.0148342733523913	0.0766437456540215	0	0.0206289113806691	0.0124005253805146	0.0119369543382523	0	0.207177624971027	0.00146797496716372	0.0894692111566097	0.00112029668546705	0.00131345128640964	0.022560457390095	0	0.00100440392490149	0	0.00127482036622112	0	0	0.0483272811558371	0.00185428416904891
P731SM2-S139	WT	Pan-SM2	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.039527099209458	0	0	0	0.0009614699807706	0.390143152197137	0	0	0.021544049569119	0	0.0319777793604444	0.0863186382736272	0	0.0247845595043088	0.0144932697101346	0.0294138594117228	0	0.21123851577523	0.0006765899864682	0.0690121786197564	0.0018517199629656	0.0011039099779218	0.013887899722242	0	0.0010326899793462	0	7.12199985756e-05	0	0	0.0609999287800014	0.0009614699807706
P731SM3-S140	WT	Pan-SM3	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.040433899020824	0	0	0	0.000527857689566893	0.4547230066774	0	0	0.00337828921322811	0	0.0280028504315237	0.0958325635408694	0	0.0346274644355882	0.0204280925862388	0.0107419039826863	0	0.164322098762174	0.000475071920610203	0.0331494629048009	0.00131964422391723	0.00150439441526564	0.0104515822534245	0	0.00292961017709625	0	0.000211143075826757	0	0	0.0955686346960859	0.00137242999287392
P731SM4-S141	WT	Pan-SM4	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0318300409988818	0	0	0	0.00175177040626165	0.432240029817369	0	0	0.00834886321282147	0	0.0484532240029817	0.0722325754752143	0	0.0247856876630637	0.0255683935892657	0.0142750652254939	0.000559075661572866	0.173164368244502	0	0.0398807305255311	0.00141632500931793	0.000298173686172195	0.00614983227730153	0	0.00122996645546031	0	0.00145359672008945	0	0	0.114834140887067	0.0015281401416325
P731SM5-S142	WT	Pan-SM5	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0350119398791965	0	0	0	0.00245821042281219	0.408238516645596	0	0	0.0181556398370558	0.00010535187526338	0.00579435313948588	0.00877932293861497	0	0.0244767523528585	0.00751510043545442	0.0318865009130496	0	0.268085405253547	0.00014046916701784	0.0963969658659924	0.00354684646720045	0.0012291052114061	0.0183312262958281	0	0.000456524792807979	0	0	0	0	0.0672144964180362	0.00217727208877651
P731SM6-S143	WT	Pan-SM6	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0433351852643275	0	0	0	0.00132484294200607	0.383050557716142	0	0	0.00551305611350912	0	0.0830804735245096	0.101200906021625	0	0.0176503269370486	0.00282063336040002	0.00713705713919398	0	0.146373776657122	0.00209410658575153	0.0486345570323518	0.000726526774648489	0.00226505406213941	0.00987221676140006	0	0.00252147527672123	0	0.00166673789478183	0	0	0.139108508910637	0.00162400102568486
P731SM7-S144	WT	Pan-SM7	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.026834854544833	0	0	0	0.000957166786312515	0.379858476053738	0	0	0.010836495402181	0	0.0240317232420606	0.075923836871432	0	0.0402010050251256	0.015588144805661	0.0189724130858374	0	0.218780979728575	0.00174341093221208	0.0742829795234677	0.00157248829179913	0.00126482753905582	0.00748641165008717	0	0.000854613202064746	0	0.00112808942672546	0	0	0.0955457559908385	0.00413632789799337
P731SM8-S145	WT	Pan-SM8	Pancreatic	Yes	None	Post	Smoke only	620.21	88.26	Abx-Pancreatic	0.0465132793637267	0	0	0	0.00184632864649908	0.373952563556313	0	0	0.00788240306774606	0	0.108223263740946	0.118591109217441	0	0.0138474648487431	0.0101548075557449	0.00447379633574776	0.000852151682999574	0.191734128674904	0.00213037920749893	0.0529754296264735	0.00134924016474933	0.00191734128674904	0.0174691095014913	0	0.00390569521374805	0	0.00333759409174833	0	0	0.0388439142167306	0
