SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Micrococcales.f__Microbacteriaceae.g__Curtobacterium.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales.f__Deferribacteraceae.g__Mucispirillum.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pseudomonadales.f__Pseudomonadaceae.g__Pseudomonas.s__Pseudomonas_aeruginosa	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.89425450865104	0	0	0	0	0	0	0	0	0	0	0.492915521902894	0.159700842867512	1.96926055750278	0	0	0	3.26572166200778
S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.70329137811866	0	0	0	0	0	0.236089188730967	0	0	0	0	0.176091259055681	1.14612803567824	1.85733249643127	0	0	0	3.27764740914884
S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	2.17091332014121	0	0	0	0	0	0.221848749616356	0	0	0	0	0.324511091513504	0.142667503568732	1.05007886434332	0	0	0	3.24845010138317
S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	1.85261552007949	0	1.05648135595245	2.33668204994343	0.460730838531493	1	2.38610244008882	0.142667503568732	0.544068044350276	0.537119184394948	0	0.416825352832411	1.00240606976588	0.515579506538838	0	0	1.0435805713064	3.18439170522294
S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0.761760834195474	0	0	0	0	0	0	0	0	0	0	0	0	0	2.93413358042592	0	2.45687190911158
S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0.595985843615769	0	0	0	0	0.142667503568732	0	0	0	0	0	0	0	0	3.02974441252587	0	2.55502723593686
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.263241434774581	0.443697499232713	0	0	0	0	0	0	0	0	0	0	0	0	0	2.94822273008998	0	2.50972509418157
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.159700842867512	2.81844584524282	0	2.26507999898001
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0.492915521902894	0	0	0	0	0	0	0	0	0	0	0	0	0	2.92217741586852	0	2.40053798939195
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0	0	0	0	0	0	0.713210443450629	0	0	0	0	0	0	0	0.708515322242249	2.809709316594	0	2.42306374162887
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.84989692289603	0	0	0	0	0	0.106455330914287	0	0	0	0	0	0	1.35645080290404	0	0	0	3.20711051686565
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.85261552007949	0	0	0.106455330914287	0	0	0.191885526238913	0	0	0	0	0	0.689210167046863	1.41774840202559	0	0	0	3.2736827403113
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.81142604531969	0	0	0	0	0	0	0	0	0	0	0	0.312929218963689	1.31410140451174	0	0	0	3.18596689276784
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.37515536992172	0	0	0	0	0	0	0	0	0	0	0	0	1.47550977056308	0	0	0	3.11826472608948
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.88334592879619	0	0	0.106455330914287	0	0	0.142667503568732	0	0	0	0	0	0.694117501541607	1.65428352413787	0	0	0	3.24225147060023
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.87215627274829	0	0	0	0	0	0.176091259055681	0	0	0	0	0.1249387366083	0.45229767099463	1.46818316693188	0	0	0	3.22417323154013
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.62725203285157	0	0	0	0	0	0	0	0	0	0	0.191885526238913	0.324511091513504	1.3511088600073	0	0.357511351616429	0	3.06052996463374
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.69314046067529	0	0	0	0	0	0	0	0	0	0	0.159700842867512	0.37819595047628	1.47952732448554	0	0.460730838531493	0	3.12793226604534
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	1.80993362295101	0	0	0	0	0	0	0	0	0	0	0	0.722451100185542	1.82063925637947	0	0.335792101923193	0	3.23278441432074
