SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
S731ABX1-S90	WT	Pan-ABX1	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.00444127645575173	0.00060313630880579	0.000877289176444786	0.000274152867638995	0	0.00334466498519575	0	0.812040793946705	0	0.178418686259458
S731ABX2-S91	WT	Pan-ABX2	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.00425392670157068	0.00275804038893044	0.00037397157816006	0	0	0.00210359012715034	0	0.827225130890052	0	0.163285340314136
S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.00341651812240048	0.00189393939393939	0.0467171717171717	0.00839275103980986	0	0.00542186571598336	0	0.792595068330362	0.00029708853238265	0.14126559714795
S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	0.0144342297448234	0.000902139359051465	0	0	0	0.000472549188074577	0	0.768150184723773	0	0.216040896984277
S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0332761718112037	0.39041319614568	0.153927813163482	0.062510207414666	0.0323370896619304	0.298464804834232	0.00265392781316348	0.00477707006369427	0.0216397190919484	0
S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0604459264701727	0.433153417921836	0.103992991776641	0.066549862944019	0.00743210783621104	0.301099273744595	0.000876027919857575	0.0210811880068952	0.00536920337977223	0
S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0310282621767889	0.488562838244137	0	0	0	0.470715574263379	0	0.00728803367408298	0.000168370414912808	0.00223692122669874
S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0592298451681794	0.262346502936466	0.153663908168713	0.0355045381740523	0.0146489588894821	0.462393219434063	0.00734116390816871	0.00133475707421249	0.00353710624666311	0
S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0852531955808604	0.467742543644659	0	0	0	0.415067305154406	0	0.0319369556200747	0	0
S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0396206126444071	0.515178251399267	0	0	0	0.432269982629794	0	0.0120764289062285	0	0.000854724420303841
S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0267798466593647	0.443729463307777	0.000355969331872946	0	0	0.515224534501643	0	0.0139101861993428	0	0
S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0778992805755396	0.496834532374101	0.000345323741007194	0	0	0.413064748201439	0	0.0118561151079137	0	0
S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	0.0369285959220279	0.419403339400174	0.115032576297117	0.0188072063517185	0.00662076969744929	0.381577906148611	0.0128458758671626	0.00216296061829021	0.00635699401229195	0.000263775685157342
S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00551497266702143	0.00357989453824198	0	0	0	0.00120942383048716	0	0.747375550287843	0	0.242320158676407
S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00372656340980552	0.000737549008190676	0.000271728581964986	0	0	0.00609448390978611	0	0.747564147354528	0	0.241605527735725
S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00412673666834793	0.0191663991929937	0	0	0	0.00921637855931038	0	0.731762116557385	0.000687789444724655	0.235040579577239
S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.0011892177589852	0.000858879492600423	0	0	0	0.00218023255813953	0	0.782241014799154	0	0.213530655391121
S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00245198201879853	0.000561912545974663	0	0	0	0.00311606048222313	0	0.767725786677564	0	0.226144258275439
S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	0.00478933010003031	0.000969990906335253	0.0045468323734465	0.000242497726583813	0	0.00212185510760837	0	0.707487117308275	0	0.279842376477721
S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0425684719093788	0.385009630137434	0.000163222668364182	0	0	0.508308033819737	0	0.00594130512845624	0.0568341331244083	0.00117520321222211
S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0366144940568185	0.420546828898193	0.000281001489307893	0	0	0.485261471885801	0	0.0168881895074044	0.0404080141624751	0
S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0413075576005219	0.424475500463551	0	0	0	0.444631390996807	0	0.0108161933866703	0.07876935755245	0
S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0208189040537788	0.446200855571399	0	0	0	0.427011611326136	0	0.00582603381544103	0.100142595233245	0
S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0433452168746286	0.384224598930481	0.000207961972667855	0	0	0.546524064171123	0.000386215092097445	0.0040701128936423	0.0199346405228758	0.00130718954248366
S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0441217798594848	0.379110070257611	0.000281030444964871	0	0	0.492583918813427	0.000437158469945355	0.00924277907884465	0.0742232630757221	0
S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.037880867416964	0.390154634458779	0	0	0	0.442812700155549	0	0.011345960289139	0.114191600329399	0.00361423735016927
S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.036118703631394	0.448457633736822	0	0	0	0.480085903943772	0	0.0113237016790316	0.0240140570089809	0
S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	0.0357336710692962	0.39216573186177	0	0	0	0.534859176165491	0	0.0080815391110307	0.0263856220975816	0.00277425969483143
