Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.1987945001756	0.402707664066085	40.2707664066085	15795
Bacteria	Bacteroidota	Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.06115078092855	0.370208246161769	37.0208246161769	11502
Bacteria	Bacteroidota	Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.31839727921751	0.405077585032027	40.5077585032027	20806
Bacteria	Bacteroidota	Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.44416975476857	0.448999370063478	44.8999370063478	27798
Bacteria	Bacteroidota	Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.36140671705934	0.395295615665221	39.5295615665221	22973
Bacteria	Bacteroidota	Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	Bacteria_/_Bacteroidota	3.3717880089022	0.420243262069335	42.0243262069335	23529
Bacteria	Campilobacterota	ControlDonor1-S84	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Campilobacterota	0.146128035678238	9.06228052289359e-05	0.00906228052289359	4
Bacteria	Campilobacterota	ControlDonor2-S85	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	ControlDonor3-S86	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Campilobacterota	1.48000694295715	0.00722790168073467	0.722790168073467	292
Bacteria	Campilobacterota	ControlDonor4-S87	WT	Smoke-free	Donor	Tumor-naive	Tumor-naive Smoke-free Donor	NA	NA	Smoke-FMT	Bacteria_/_Campilobacterota	0	0	0	0
