Domain	Phylum	Class	Order	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT3-S118	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.34169092920528	0.021582459485224	2.1582459485224	566
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT4-S119	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.00160552671542	0.00965877602723458	0.965877602723458	244
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT5-S120	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.58357658563395	0.0194948361892237	1.94948361892237	1008
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT6-S121	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.54544457317908	0.0168326784245636	1.68326784245636	921
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT7-S122	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.61668940895662	0.0228004852947329	2.28004852947329	1090
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostcntrFMT8-S123	WT	Smoke-free feces	Recipient	Post-tumor	Post-tumor Smoke-free feces Recipient	151.34	21.65	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.4331473168994	0.012303664921466	1.2303664921466	705
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT1-S124	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.66135688052511	0.023254920787326	2.3254920787326	1211
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT10-S133	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.90808767714745	0.0396115934580297	3.96115934580297	2158
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT2-S125	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.65641765365056	0.0258849988106308	2.58849988106308	1197
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	PostsmkFMT3-S126	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.1206957700289	0.0699043705050186	6.99043705050186	3538
