index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
S731CT5-S38,0.0,2185.0,76.0,12405.0,0.0,0.0,0.0,6957.0,4051.0,0.0,0.0,847.0,0.0,0.0,0.0,WT,Pan-CT5,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT6-S39,31.0,1393.0,44.0,18685.0,0.0,0.0,0.0,5204.0,10474.0,0.0,0.0,438.0,0.0,0.0,0.0,WT,Pan-CT6,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT7-S40,0.0,891.0,87.0,16205.0,13.0,0.0,0.0,6892.0,11924.0,0.0,0.0,508.0,0.0,0.0,0.0,WT,Pan-CT7,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT8-S41,0.0,2650.0,57.0,17265.0,12.0,0.0,0.0,8860.0,5494.0,0.0,0.0,412.0,0.0,0.0,0.0,WT,Pan-CT8,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT9-S42,10.0,1264.0,136.0,15900.0,4361.0,713.0,251.0,6309.0,8157.0,487.0,0.0,82.0,181.0,60.0,518.0,WT,Pan-CT9,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731SA1-S52,5009.0,114.0,0.0,74.0,0.0,0.0,0.0,14.0,11.0,0.0,0.0,15449.0,0.0,0.0,0.0,WT,Pan-SA1,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA2-S53,6224.0,96.0,0.0,19.0,7.0,0.0,0.0,103.0,54.0,0.0,0.0,19258.0,0.0,0.0,0.0,WT,Pan-SA2,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA3-S54,5126.0,90.0,0.0,418.0,0.0,0.0,0.0,144.0,57.0,0.0,0.0,15959.0,0.0,15.0,0.0,WT,Pan-SA3,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA4-S55,3232.0,18.0,0.0,13.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,11840.0,0.0,0.0,0.0,WT,Pan-SA4,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA5-S56,4427.0,48.0,0.0,11.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,15029.0,0.0,0.0,0.0,WT,Pan-SA5,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA6-S57,4616.0,79.0,0.0,16.0,75.0,4.0,0.0,27.0,8.0,0.0,0.0,11670.0,0.0,0.0,0.0,WT,Pan-SA6,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SM1-S43,36.0,1256.0,48.0,11794.0,5.0,0.0,0.0,7182.0,8389.0,0.0,0.0,182.0,0.0,1741.0,0.0,WT,Pan-SM1,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM2-S44,0.0,1264.0,39.0,14966.0,10.0,0.0,0.0,8020.0,9249.0,0.0,0.0,601.0,0.0,1438.0,0.0,WT,Pan-SM2,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM3-S45,0.0,1148.0,55.0,12362.0,0.0,0.0,0.0,5766.0,7183.0,0.0,0.0,315.0,0.0,2294.0,0.0,WT,Pan-SM3,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM4-S46,0.0,409.0,102.0,10952.0,0.0,0.0,0.0,2106.0,8375.0,0.0,0.0,143.0,0.0,2458.0,0.0,WT,Pan-SM4,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM5-S47,44.0,1358.0,101.0,12933.0,7.0,0.0,0.0,7174.0,11222.0,13.0,0.0,137.0,0.0,671.0,0.0,WT,Pan-SM5,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM6-S48,0.0,1323.0,90.0,12141.0,9.0,0.0,0.0,7327.0,8448.0,14.0,0.0,296.0,0.0,2377.0,0.0,WT,Pan-SM6,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM7-S49,79.0,745.0,83.0,8528.0,0.0,0.0,0.0,2932.0,6747.0,0.0,0.0,248.0,0.0,2496.0,0.0,WT,Pan-SM7,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM8-S50,0.0,870.0,55.0,11485.0,0.0,0.0,0.0,3667.0,8628.0,0.0,0.0,290.0,0.0,615.0,0.0,WT,Pan-SM8,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM9-S51,92.0,1144.0,41.0,13005.0,0.0,0.0,0.0,5589.0,12148.0,0.0,0.0,268.0,0.0,875.0,0.0,WT,Pan-SM9,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
