index,Unassigned;__,d__Bacteria;p__Actinobacteriota,d__Bacteria;p__Bacteroidota,d__Bacteria;p__Campilobacterota,d__Bacteria;p__Deferribacterota,d__Bacteria;p__Desulfobacterota,d__Bacteria;p__Firmicutes,d__Bacteria;p__Patescibacteria,d__Bacteria;p__Proteobacteria,d__Bacteria;p__Verrucomicrobiota,d__Eukaryota;p__Parabasalia,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
S731SA3-S54,5126.0,90.0,418.0,0.0,0.0,0.0,201.0,0.0,15959.0,15.0,0.0,WT,Pan-SA3,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA4-S55,3232.0,18.0,13.0,0.0,0.0,0.0,33.0,0.0,11840.0,0.0,0.0,WT,Pan-SA4,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA5-S56,4427.0,48.0,11.0,0.0,0.0,0.0,61.0,0.0,15029.0,0.0,0.0,WT,Pan-SA5,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SA6-S57,4616.0,79.0,16.0,75.0,4.0,0.0,35.0,0.0,11670.0,0.0,0.0,WT,Pan-SA6,Pre-tumor,Yes,Yes,Pre,Abx-Pancreatic
S731SM1-S43,36.0,1304.0,11794.0,5.0,0.0,0.0,15571.0,0.0,182.0,1741.0,0.0,WT,Pan-SM1,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM2-S44,0.0,1303.0,14966.0,10.0,0.0,0.0,17269.0,0.0,601.0,1438.0,0.0,WT,Pan-SM2,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM3-S45,0.0,1203.0,12362.0,0.0,0.0,0.0,12949.0,0.0,315.0,2294.0,0.0,WT,Pan-SM3,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM4-S46,0.0,511.0,10952.0,0.0,0.0,0.0,10481.0,0.0,143.0,2458.0,0.0,WT,Pan-SM4,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM5-S47,44.0,1459.0,12933.0,7.0,0.0,0.0,18396.0,13.0,137.0,671.0,0.0,WT,Pan-SM5,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM6-S48,0.0,1413.0,12141.0,9.0,0.0,0.0,15775.0,14.0,296.0,2377.0,0.0,WT,Pan-SM6,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM7-S49,79.0,828.0,8528.0,0.0,0.0,0.0,9679.0,0.0,248.0,2496.0,0.0,WT,Pan-SM7,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM8-S50,0.0,925.0,11485.0,0.0,0.0,0.0,12295.0,0.0,290.0,615.0,0.0,WT,Pan-SM8,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
S731SM9-S51,92.0,1185.0,13005.0,0.0,0.0,0.0,17737.0,0.0,268.0,875.0,0.0,WT,Pan-SM9,Pre-tumor,Yes,No,Pre,Abx-Pancreatic
