SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0174345796672467	0.471823312244865	0.107063281669296	0	0.0341047701140078	0.350903443004212	0.0126368175386667	0.00344788329240327	0.00167515084489404	0.000910761624408412
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0248946827213321	0.439728662885196	0.0284439579394301	0	0.0155571035260557	0.45883504162935	0.0176800344976283	0.00651806149865658	0.000497561946462335	0.00784489335588947
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0225776300758126	0.504019108941739	0.0177173122858033	0	0.00631425900924291	0.402637864783467	0.0100529650015578	0.0351438363277599	0.000228476477308132	0.00130854709731021
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0225679459379803	0.474600534725585	0.0175996294814846	0	0.036609755584093	0.431380391991748	0.00907349318961706	0.00570514304962001	0.00162101850487358	0.000842087534999263
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0334510827829826	0.379081554292735	0.106128090923053	0.0230993702964214	0.00525264936261711	0.42589463984027	0	0.0116725541391491	0.014007064966979	0.00141299339579174
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0237488327486561	0.384953183756909	0.0588799434671782	0.00726850566590112	0.0158493804103677	0.488680816697373	0	0.0124675062463721	0.0070666027307372	0.00108522827650607
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0271568564657657	0.338179722026516	0.121693460577724	0.0155639531159931	0.0152757317619932	0.463171715877794	0	0.0149554858131045	0.00377890219688721	0.000224172164222123
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0238989324607049	0.408400836864975	0.1069416876777	0.000858323051338448	0.0176224451477925	0.424816265221823	0	0.00879781127621909	0.00667882624322729	0.00198487205622016
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0341336633663366	0.455891089108911	0.136856435643564	0.00599009900990099	0.0136386138613861	0.335990099009901	0	0.00532178217821782	0.0114356435643564	0.000742574257425743
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0527604943832878	0.457135617556801	0.115008868492919	0.000788310481714012	0.00760156535938512	0.354627100988203	0.00061938680706101	0.00529294180579408	0.00591232861285509	0.000253385511979504
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.047469212824825	0.363180166006619	0.0868822221016655	0.00466554548906852	0.00691694244018879	0.46753105842782	0.00100363478543916	0.0199641946508978	0.00238702327347692	0
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	0.0210651289009498	0.337822252374491	0.0997625508819539	0.00325644504748982	0.00841248303934871	0.514077340569878	0.000780189959294437	0.00895522388059702	0.005359565807327	0.000508819538670285
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0276854674214471	0.42085119061261	0.0187472784360461	0	0.00472119725895538	0.509889303967181	0.00185639309696789	0.0103820502830427	0.00515664749157748	0.000710471432172897
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.00868735733996525	0.384083398630464	0.000442884883998228	0	0.000374748747998501	0.598133069873607	0.000170340339999319	0.0076993833679692	0.000102204203999591	0.000306612611998774
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0307735454591811	0.402707664066085	0.00300851562898373	0	0.00387537606445362	0.546606496354087	0.00181020855642242	0.0101983580643516	0.000458926112895824	0.00056090969353934
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0128745695065821	0.370208246161769	0.00157713476455631	0	0.00431298078470501	0.604171360520133	0.00128745695065821	0.00267147317261579	0.000160932118832277	0.0027358460201487
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0228958588867473	0.405077585032027	0.00247259700562662	0.00038938535521679	0.000116815606565037	0.556509549675837	0	0.0104744660553317	0.00169382629519304	0.000369916087455951
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0310768684078758	0.448999370063478	0.000113065529550484	0	0	0.506856616756311	0	0.012727948183683	0	0.000226131059100968
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0187211783329892	0.395295615665221	0.007433409043981	0.000671071649803841	0.00177231743409732	0.570789455571615	0.000223690549934614	0.00301121894142749	0.0013249363342281	0.000757106476701769
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	0.0318812623908268	0.420243262069335	0.00985907946203719	0.000750147350372395	0.00137527014234939	0.527210702102199	0	0.0079837110861062	0.000607262140777653	8.93032559967136e-05
