SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	1.44715803134222	1.20605448243312	1.58947086401994	2.35888620440587	0.330993219041424	1.13490533156949	2.50398512876533	0.455931955649724	0.895264649479987	1.41377858935787	1.19629464514397	1.30102999566398	0.903089986991944	3.39718243506894
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	2.2023715346056	1.02413367971672	1.11394335230684	2.55422949214442	0	0.808114473761087	2.29635173338621	0.964461674621011	0.544068044350276	0	1.21370744666165	0.826999817921461	1.68701907623455	3.4456709100523
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.55110130708148	0.497324640807949	0.410174465089049	0.660051938305649	0	0.154901959985743	2.7684266628394	0	0	0	0.466655821041497	1.55543994937769	0	3.56927356044483
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.96914955571766	0.525969822257479	1.31925481577018	1.36441697452837	0	0.728933227713462	2.53384465859918	0.215599800339355	0.497324640807949	0.132625565274591	0.410174465089049	1.74317366682807	0.497324640807949	3.54373111388458
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.58059917334833	0.544068044350276	0	0.385350881364017	0	0	2.03198521663639	0	0.26884531229258	0.301029995663981	0.316269962220718	1.17193529928452	0	3.4598769211412
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.81291335664286	0.646263653820016	0	0.602059991327962	0	0	2.08355380663944	0	0.487340419901349	0	0.477121254719662	1.18020782525051	0	3.458346423294
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.79389011932943	0.544068044350276	0	0	0	0	2.67321844840221	0	0	0	0.964461674621011	1.3438304437466	0	3.58316637481296
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.96914955571766	0.561442140419698	0	0	0	0	2.09166695759568	0	0.594234653816006	0	0.497324640807949	1.91870418406034	0	3.60243208429538
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.81291335664286	0.751499055612203	0	0	0	0	1.79189106179797	0	0.466655821041497	0	0.330993219041424	1.36307448665286	0	3.51656370268364
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	1.79736648022786	0.698970004336019	0	0	0	0	1.78329089003605	0	0.132625565274591	0	0.745966567012242	1.73582693566136	0	3.50652435972211
