SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota	d__Bacteria.p__Bacteroidota	d__Bacteria.p__Campilobacterota	d__Bacteria.p__Deferribacterota	d__Bacteria.p__Desulfobacterota	d__Bacteria.p__Firmicutes	d__Bacteria.p__Patescibacteria	d__Bacteria.p__Proteobacteria	d__Bacteria.p__Verrucomicrobiota	Other
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	2.17926446433903	3.42362264528925	2.23678909940929	0	1.97680833733807	3.44208762955076	2.03181227133037	1.60530504614111	0.602059991327962	1.68394713075151
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	2.04020662757471	3.38517712881843	1.93601079571521	0	1.49692964807321	3.28768978393608	1.69372694892365	2.23095955574857	0.322219294733919	0.863322860120456
PrecntrlFMT8-S107	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	2.03422726077055	3.35322357609746	1.92737036303902	0	2.24278980947868	3.31177504563574	1.64443858946784	1.44870631990508	0.939519252618619	0.698970004336019
PresmokeFMT1-S108	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.04099769242349	3.09170212171715	2.53970323894783	1.8819549713396	1.25767857486918	3.14223299179471	0	1.5910646070265	1.66838591669	0.7481880270062
PresmokeFMT2-S109	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.97818051693741	3.18363990422135	2.36977228859696	1.47421626407626	1.80482067872116	3.28719687846623	0	1.70243053644553	1.46239799789896	0.724275869600789
PresmokeFMT3-S110	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.93348728784871	3.02407498730743	2.58092497567562	1.6954816764902	1.68752896121463	3.16055856210756	0	1.67851837904011	1.10720996964787	0.230448921378274
PresmokeFMT4-S111	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.95472479097906	3.18287096398891	2.60173414826011	0.6232492903979	1.82412583391655	3.19997446253049	0	1.52891670027765	1.41329976408125	0.924279286061882
PresmokeFMT5-S112	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.14270224573762	3.26547820358064	2.74343136514668	1.40140054078154	1.74896286125616	3.13302767289988	0	1.35218251811136	1.67394199863409	0.602059991327962
PresmokeFMT6-S113	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.27508089845686	3.21077318047017	2.61225390609644	0.57978359661681	1.44715803134222	3.1005773027896	0.505149978319906	1.29666519026153	1.34242268082221	0.278753600952829
PresmokeFMT7-S114	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	2.24551266781415	3.12707238711945	2.50691072555152	1.26007138798507	1.42324587393681	3.23668838176462	0.672097857935717	1.87273882747267	0.991226075692495	0
PresmokeFMT8-S115	WT	Smoke-exposed feces	Recipient	Pre-tumor	Pre-tumor Smoke-exposed feces Recipient	NA	NA	Smoke-FMT	1.80002935924413	2.99865159599837	2.46996920949996	1.02530586526477	1.41161970596323	3.18084241464668	0.518513939877887	1.43775056282039	1.22530928172586	0.397940008672038
Smokedonor1-S92	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.08564728829686	3.26418007503583	1.91803033678488	0	1.33445375115093	3.34748613807657	0.959041392321094	1.66558099101795	1.37106786227174	0.612783856719736
Smokedonor2-S93	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.42324587393681	3.05246307748333	0.361727836017593	0	0.322219294733919	3.24469760129671	0.176091259055681	1.37291200297011	0.113943352306837	0.278753600952829
Smokedonor3-S94	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.08529057823006	3.1987945001756	1.10720996964787	0	1.20951501454263	3.33140704921978	0.90848501887865	1.61278385671974	0.447158031342219	0.505149978319906
Smokedonor4-S95	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	1.61278385671974	3.06115078092855	0.770852011642144	0	1.15836249209525	3.2737187126862	0.698970004336019	0.968482948553935	0.176091259055681	0.977723605288848
Smokedonor5-S96	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.07408468902824	3.31839727921751	1.13672056715641	0.477121254719662	0.204119982655925	3.45627491284017	0	1.73878055848437	0.986771734266245	0.462397997898956
Smokedonor6-S97	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.28645646974698	3.44416975476857	0.230448921378274	0	0	3.49679131570004	0	1.90200289135073	0	0.380211241711606
Smokedonor7-S98	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.04060234011407	3.36140671705934	1.64542226934909	0.690196080028514	1.05307844348342	3.52090255898752	0.361727836017593	1.26717172840301	0.939519252618619	0.732393759822969
Smokedonor8-S99	WT	Smoke-exposed	Donor	Tumor-naive	Tumor-naive Smoke-exposed Donor	NA	NA	Smoke-FMT	2.25406445291434	3.3717880089022	1.74973631556906	0.716003343634799	0.939519252618618	3.4702340321876	0	1.65991620006985	0.643452676486187	0.176091259055681
