SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
PostsmkFMT7-S130	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0234032872661093	0.000938406415287494	0.371580503895808	0.177301939373258	0	0.0188534379798669	0	0.00255929022351135	0.0185975089575158	0.00034123869646818	0	0	0	0.00230336120116021	0	0.303048399021782	0	0.0466075186259455	0.00617073309446625	0.00281521924586248	0.000625604276858329	0.00887220610817267	0.00241710743331627	0.0116021156799181	0.00179150315645794	0	0.00017061934823409
PostsmkFMT8-S131	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.00841552196273126	0.00543224169022864	0.513636262439611	0.0991606741322884	0.0183894739185609	0.0129794955139479	0	0.0215285971903734	0.0136919206536501	0.00409644455328717	0	0	0.00162521984994545	0.00204822227664359	0	0.237304361377652	0	0.0269163123093706	0.0088162611038137	0.0012690072800944	0.00113542756640025	0.0153171405035955	0.0057884542600797	0.00218180199033773	0.000133579713694147	0	0.000133579713694147
PostsmkFMT9-S132	WT	Smoke-exposed feces	Recipient	Post-tumor	Post-tumor Smoke-exposed feces Recipient	270.28	56.2	Smoke-FMT	0.0438862165211711	0.00378090543777342	0.463170813785458	0.0545558920759348	0.0122533008690144	0.00821505631767524	0	0.00514678227131461	0.14038838410832	0.00340479442563889	0	0	0.00122730961854425	0.00387988201991409	0.00439456024704555	0.182789951897381	0	0.0341667161549577	0.00593859492843993	0.00100956113783479	0.0030484787299325	0	0.0148464873210998	0.0132034760575648	0.000296929746421997	0	0.000395906328562662
PrecntrlFMT1-S100	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.00790565482996309	0.00192741171474307	0.417921662147594	0.133938780177061	0	0.0224919146711966	0.000130671980660547	0.0166770115318023	0.0357551207082421	0.000228675966155957	0.00721962693149521	0.000179673973408252	0.00235209565188984	0.0188657672078665	0.00104537584528437	0.230783051844108	0	0.0498513606219986	0.0125608441409951	0.00927771062689883	0.0084120087550227	0.00271144359870635	0.00197641370749077	0	0	0.0171343634641142	0.000653359903302734
PrecntrlFMT2-S101	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0228120744840758	0.00258183168579462	0.423703336929035	0.0843869918124105	0.000176837786698262	0.0133158853383791	0.000954924048170613	0.0199473023395639	0.0399476560151373	0.000778086261472351	0.0154202550000884	0.00037135935206635	0.0204247643636492	0.00771012750004421	0.00219278855505844	0.257263612088631	5.30513360094785e-05	0.0594705476666254	0.00728571681196838	0.00661373322251499	0.00643689543581673	0.000583564696104264	0.00369590974199367	0.000530513360094785	0.000141470229358609	0.00185679676033175	0.00134396717890679
PrecntrlFMT3-S102	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0121679600497034	0.00288373619675052	0.508451926007549	0.0350033995264108	0	0.00759618315241601	0.00107847044756524	0.0286966919091271	0.0868168710290015	0.00389187161512672	0.0102220242421401	0.000281340116756148	0.010737814456193	0.0147703561296978	0.00248517103134598	0.223173047616815	0.000164115068107753	0.0326120085339835	0.00314163130377699	0.00668182777295853	0.00565024734485265	0.00161770567134785	0.00168804070053689	0	4.68900194593581e-05	0.000140670058378074	0
PrecntrlFMT4-S103	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0207729580599541	0.00343124753668885	0.472352954814179	0.0390188486773468	0	0.00380219321633088	0.00129830987874713	0.0269631140889806	0.0595599656875246	0.0027125402823824	0.0215844017341711	0.000185472839821019	0.0169939489486008	0.0293742610066538	0.00380219321633088	0.238703544849651	0	0.0251083856907704	0.00301393364709155	0.0149769318155473	0.0116384206987689	0.00148378271856815	0.00257343565251663	0	0	0.000208656944798646	0.000440497994574919
PrecntrlFMT5-S104	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0139379055735359	0.00349667409371087	0.471823312244865	0.107063281669296	0	0.0341047701140078	0.00304129328150666	0.0300226064046059	0.040691528290533	0.000552962414819393	0.00328524728804463	6.5054401743458e-05	0.0169954624554784	0.0142143867809456	0.00094328882528014	0.187031405012442	0.000260217606973832	0.0340234521118285	0.00736741099744661	0.0124091271325646	0.0126368175386667	0.00152877844097126	0.00191910485143201	0	0	0.00167515084489404	0.000910761624408412
PrecntrlFMT6-S105	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0213951636978804	0.00349951902345175	0.439728662885196	0.0284439579394301	0	0.0155571035260557	6.63415928616446e-05	0.0373834875775367	0.0489435101336783	0.00122731946794043	0.00235512654658838	0.000116097787507878	0.00330049424486682	0.00623610972899459	0.012223438484758	0.265465883835871	0	0.0630410986167778	0.00641854910936412	0.0120575845026039	0.0176800344976283	0.00152585663581783	0.00499220486283876	0	0	0.000497561946462335	0.00784489335588947
PrecntrlFMT7-S106	WT	Smoke-free feces	Recipient	Pre-tumor	Pre-tumor Smoke-free feces Recipient	NA	NA	Smoke-FMT	0.0186104476061896	0.00396718246962301	0.504019108941739	0.0177173122858033	0	0.00631425900924291	0	0.0530688545020251	0.040938830615848	0.0033440648042372	0.0056703707550109	0.000311558832692907	0.00303250597154429	0.0333160245092948	0.00473569425693218	0.184588223076124	0.000124623533077163	0.0483539308339391	0.00513033544500987	0.0200228476477308	0.0100529650015578	0.0329421539100634	0.00220168241769654	0	0	0.000228476477308132	0.00130854709731021
