index,Unassigned;__;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales;f__Bifidobacteriaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Eggerthellaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Muribaculaceae,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales;f__Acholeplasmataceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelatoclostridiaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39;f__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014;f__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group;f__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales;f__Monoglobaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__Ruminococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__UCG-010,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales;f__[Eubacterium]_coprostanoligenes_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales;f__Peptococcaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Anaerovoracaceae,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Peptostreptococcaceae,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Sutterellaceae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales;f__Akkermansiaceae,MouseModel,MouseID,Cancer,SmokeExp,NeoExp,TumorImp,Study
SMK-Neo5-S120,169.0,0.0,0.0,0.0,6775.0,1792.0,0.0,0.0,20.0,5937.0,628.0,0.0,0.0,20.0,0.0,1806.0,0.0,0.0,1377.0,30.0,0.0,29.0,0.0,0.0,0.0,10.0,196.0,WT,SMK_Neo5,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo6-S125,646.0,0.0,0.0,0.0,14913.0,663.0,0.0,0.0,598.0,131.0,2056.0,0.0,14.0,88.0,0.0,3937.0,0.0,0.0,2217.0,715.0,0.0,95.0,0.0,0.0,0.0,13.0,1373.0,WT,SMK_Neo6,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo7-S130,78.0,0.0,0.0,0.0,7611.0,919.0,0.0,0.0,52.0,7792.0,308.0,0.0,0.0,0.0,0.0,310.0,0.0,0.0,57.0,27.0,0.0,0.0,0.0,0.0,0.0,8.0,668.0,WT,SMK_Neo7,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK-Neo8-S135,476.0,0.0,0.0,0.0,17340.0,58.0,0.0,0.0,522.0,38.0,1070.0,0.0,8.0,14.0,0.0,1283.0,0.0,67.0,1389.0,245.0,0.0,128.0,0.0,0.0,0.0,0.0,615.0,WT,SMK_Neo8,Pancreatic,Yes,Yes,Post,Neo-Pancreatic
SMK1-S117,267.0,0.0,0.0,86.0,1913.0,2918.0,0.0,161.0,25.0,4892.0,2482.0,25.0,174.0,5.0,119.0,1900.0,0.0,6.0,765.0,305.0,15.0,106.0,7.0,0.0,0.0,214.0,105.0,WT,SMK1,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK10-S123,354.0,0.0,0.0,110.0,3839.0,3953.0,0.0,610.0,34.0,4367.0,3507.0,41.0,112.0,11.0,121.0,3490.0,0.0,27.0,1405.0,552.0,41.0,192.0,17.0,15.0,0.0,344.0,59.0,WT,SMK10,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK11-S128,1188.0,0.0,0.0,303.0,2148.0,4126.0,0.0,70.0,22.0,1131.0,9265.0,566.0,828.0,67.0,343.0,1672.0,53.0,0.0,621.0,362.0,0.0,73.0,0.0,7.0,357.0,60.0,283.0,WT,SMK11,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK2-S122,370.0,0.0,0.0,196.0,2191.0,3244.0,0.0,293.0,43.0,863.0,4942.0,439.0,448.0,58.0,146.0,2874.0,77.0,29.0,1623.0,578.0,0.0,91.0,17.0,16.0,119.0,108.0,119.0,WT,SMK2,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK3-S127,650.0,0.0,0.0,151.0,1209.0,3178.0,0.0,49.0,58.0,5376.0,5196.0,14.0,145.0,8.0,148.0,1322.0,0.0,0.0,447.0,193.0,20.0,57.0,7.0,5.0,0.0,49.0,87.0,WT,SMK3,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK4-S132,477.0,0.0,0.0,111.0,1083.0,1893.0,0.0,41.0,22.0,987.0,4870.0,129.0,284.0,22.0,186.0,796.0,105.0,0.0,394.0,120.0,0.0,24.0,0.0,6.0,300.0,0.0,0.0,WT,SMK4,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK5-S137,1067.0,0.0,0.0,230.0,1038.0,2596.0,0.0,123.0,0.0,827.0,6980.0,321.0,344.0,23.0,127.0,863.0,87.0,0.0,473.0,198.0,0.0,26.0,0.0,8.0,305.0,16.0,109.0,WT,SMK5,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK7-S108,395.0,0.0,0.0,235.0,1776.0,2787.0,0.0,54.0,13.0,1518.0,3753.0,288.0,226.0,9.0,0.0,1824.0,0.0,8.0,753.0,352.0,8.0,149.0,8.0,0.0,0.0,89.0,42.0,WT,SMK7,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK8-S113,196.0,0.0,0.0,238.0,2957.0,3745.0,0.0,206.0,220.0,6596.0,1422.0,0.0,16.0,26.0,0.0,2873.0,0.0,14.0,1355.0,675.0,57.0,251.0,15.0,14.0,0.0,437.0,224.0,WT,SMK8,Pancreatic,Yes,No,Post,Neo-Pancreatic
SMK9-S118,575.0,0.0,0.0,109.0,2287.0,2878.0,0.0,184.0,39.0,6466.0,4049.0,29.0,99.0,24.0,155.0,2098.0,0.0,16.0,955.0,405.0,23.0,114.0,8.0,0.0,0.0,216.0,88.0,WT,SMK9,Pancreatic,Yes,No,Post,Neo-Pancreatic
