Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	0.949390006644913	0.00478933010003031	0.478933010003031	79
Bacteria	Actinobacteriota	S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.11859536522376	0.0425684719093788	4.25684719093788	1304
Bacteria	Actinobacteriota	S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.11826472608948	0.0366144940568185	3.66144940568185	1303
Bacteria	Actinobacteriota	S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.08386080086657	0.0413075576005219	4.13075576005219	1203
Bacteria	Actinobacteriota	S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.71683772329952	0.0208189040537788	2.08189040537788	511
Bacteria	Actinobacteriota	S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.16702179579026	0.0433452168746286	4.33452168746286	1459
Bacteria	Actinobacteriota	S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.15320490008428	0.0441217798594848	4.41217798594848	1413
Bacteria	Actinobacteriota	S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.92324401863028	0.037880867416964	3.7880867416964	828
Bacteria	Actinobacteriota	S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	1.97081161087252	0.036118703631394	3.6118703631394	925
Bacteria	Actinobacteriota	S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota	2.07736790528416	0.0357336710692962	3.57336710692962	1185
Bacteria	Bacteroidota	P731ABX1-S148	WT	Pan-ABX1	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	0.491361693834273	0.00141433189655172	0.141433189655172	21
Bacteria	Bacteroidota	P731ABX2-S149	WT	Pan-ABX2	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	0.491361693834273	0.000862777321281841	0.0862777321281841	21
Bacteria	Bacteroidota	P731ABX3-S150	WT	Pan-ABX3	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	0.832508912706236	0.00381930725668379	0.381930725668379	58
Bacteria	Bacteroidota	P731ABX4-S151	WT	Pan-ABX4	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	0.653212513775344	0.00164003561220186	0.164003561220186	35
Bacteria	Bacteroidota	P731ABX5-S152	WT	Pan-ABX5	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	0.518513939877887	0.000821076681422248	0.0821076681422248	23
Bacteria	Bacteroidota	P731ABX6-S153	WT	Pan-ABX6	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	1.53402610605614	0.017772067876452	1.7772067876452	332
Bacteria	Bacteroidota	P731ABX8-S155	WT	Pan-ABX8	Pancreatic	No	Cocktail	Post	Antibiotic only	289.01	27.94	Abx-Pancreatic	Bacteria_/_Bacteroidota	2.61002102466415	0.376087358874699	37.6087358874699	4064
Bacteria	Bacteroidota	P731CT1-S131	WT	Pan-CT1	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Bacteroidota	2.97510998968616	0.286848107039684	28.6848107039684	9433
Bacteria	Bacteroidota	P731CT2-S132	WT	Pan-CT2	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Bacteroidota	2.94502520124246	0.242853200883002	24.2853200883002	8801
Bacteria	Bacteroidota	P731CT3-S133	WT	Pan-CT3	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Bacteroidota	3.17583060416225	0.470316767651399	47.0316767651399	14981
Bacteria	Bacteroidota	P731CT4-S134	WT	Pan-CT4	Pancreatic	No	None	Post	Control	450.22	110.04	Abx-Pancreatic	Bacteria_/_Bacteroidota	3.14379520384577	0.416916347075743	41.6916347075743	13915
