Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	S731ABX3-S92	WT	Pan-ABX3	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.879177829586532	0.00341651812240048	0.341651812240048	92
Bacteria	Actinobacteriota	Actinobacteria	S731ABX4-S93	WT	Pan-ABX4	Pancreatic	No	Cocktail	Pre	Antibiotic only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.39794000867204	0.0144342297448234	1.44342297448234	336
Bacteria	Actinobacteriota	Actinobacteria	S731CT1-S34	WT	Pan-CT1	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.7514990556122	0.0316838151233056	3.16838151233056	776
Bacteria	Actinobacteriota	Actinobacteria	S731CT2-S35	WT	Pan-CT2	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.11346584320771	0.0509791731426795	5.09791731426795	1804
Bacteria	Actinobacteriota	Actinobacteria	S731CT3-S36	WT	Pan-CT3	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.94307033112691	0.0292002405291642	2.92002405291642	1214
Bacteria	Actinobacteriota	Actinobacteria	S731CT4-S37	WT	Pan-CT4	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.06231332076033	0.0534570208222104	5.34570208222104	1602
Bacteria	Actinobacteriota	Actinobacteria	S731CT5-S38	WT	Pan-CT5	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.19609719368255	0.0823875419478903	8.23875419478903	2185
Bacteria	Actinobacteriota	Actinobacteria	S731CT6-S39	WT	Pan-CT6	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.00216606175651	0.0384074554026855	3.84074554026855	1393
Bacteria	Actinobacteriota	Actinobacteria	S731CT7-S40	WT	Pan-CT7	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.81052054352697	0.0243975903614458	2.43975903614458	891
Bacteria	Actinobacteriota	Actinobacteria	S731CT8-S41	WT	Pan-CT8	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	2.27940618482003	0.0762589928057554	7.62589928057554	2650
Bacteria	Actinobacteriota	Actinobacteria	S731CT9-S42	WT	Pan-CT9	Pancreatic	No	None	Pre	Control	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.96040281814414	0.0333412466038881	3.33412466038881	1264
Bacteria	Actinobacteriota	Actinobacteria	S731SA1-S52	WT	Pan-SA1	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.96108193396963	0.00551497266702143	0.551497266702143	114
Bacteria	Actinobacteriota	Actinobacteria	S731SA2-S53	WT	Pan-SA2	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.895264649479987	0.00372656340980552	0.372656340980552	96
Bacteria	Actinobacteriota	Actinobacteria	S731SA3-S54	WT	Pan-SA3	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.870905303620542	0.00412673666834793	0.412673666834793	90
Bacteria	Actinobacteriota	Actinobacteria	S731SA4-S55	WT	Pan-SA4	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.359021942641668	0.0011892177589852	0.11892177589852	18
Bacteria	Actinobacteriota	Actinobacteria	S731SA5-S56	WT	Pan-SA5	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.646263653820016	0.00245198201879853	0.245198201879853	48
Bacteria	Actinobacteriota	Actinobacteria	S731SA6-S57	WT	Pan-SA6	Pancreatic	Yes	Cocktail	Pre	Smoke+Antibiotic	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	0.822354912875697	0.00478933010003031	0.478933010003031	79
Bacteria	Actinobacteriota	Actinobacteria	S731SM1-S43	WT	Pan-SM1	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.95767568527772	0.0410015342930826	4.10015342930826	1256
Bacteria	Actinobacteriota	Actinobacteria	S731SM2-S44	WT	Pan-SM2	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.96040281814414	0.0355185882485177	3.55185882485177	1264
Bacteria	Actinobacteriota	Actinobacteria	S731SM3-S45	WT	Pan-SM3	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.91907809237607	0.0394190158980874	3.94190158980874	1148
Bacteria	Actinobacteriota	Actinobacteria	S731SM4-S46	WT	Pan-SM4	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.4802123316968	0.0166632715420656	1.66632715420656	409
Bacteria	Actinobacteriota	Actinobacteria	S731SM5-S47	WT	Pan-SM5	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.99122607569249	0.0403446226975639	4.03446226975639	1358
Bacteria	Actinobacteriota	Actinobacteria	S731SM6-S48	WT	Pan-SM6	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.98000337158375	0.0413114754098361	4.13114754098361	1323
Bacteria	Actinobacteriota	Actinobacteria	S731SM7-S49	WT	Pan-SM7	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.73411374021724	0.0340836307072925	3.40836307072925	745
Bacteria	Actinobacteriota	Actinobacteria	S731SM8-S50	WT	Pan-SM8	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.80032422933483	0.0339711050370949	3.39711050370949	870
Bacteria	Actinobacteriota	Actinobacteria	S731SM9-S51	WT	Pan-SM9	Pancreatic	Yes	None	Pre	Smoke only	NA	NA	Abx-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria	1.91758052371318	0.0344973162052952	3.44973162052952	1144
