index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Corynebacteriales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Micrococcales,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Propionibacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,Cancer,SmokeExp,AntibioticExp,TumorImp,Study
P731SM9-S146,47.0,834.0,0.0,0.0,0.0,10.0,11213.0,0.0,0.0,89.0,0.0,728.0,2288.0,0.0,908.0,257.0,459.0,0.0,5698.0,7.0,1403.0,63.0,36.0,336.0,0.0,23.0,0.0,35.0,0.0,0.0,1040.0,0.0,WT,Pan-SM9,Pancreatic,Yes,No,Post,Abx-Pancreatic
S731ABX1-S90,3254.0,0.0,34.0,0.0,47.0,0.0,11.0,16.0,5.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14810.0,0.0,0.0,0.0,4.0,WT,Pan-ABX1,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX2-S91,3493.0,0.0,33.0,36.0,22.0,0.0,59.0,8.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,17675.0,0.0,0.0,0.0,0.0,WT,Pan-ABX2,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX3-S92,3804.0,29.0,24.0,12.0,27.0,0.0,51.0,1258.0,226.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,21223.0,8.0,0.0,0.0,17.0,WT,Pan-ABX3,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731ABX4-S93,5029.0,177.0,60.0,0.0,99.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.0,17808.0,0.0,0.0,0.0,0.0,WT,Pan-ABX4,Pre-tumor,No,Yes,Pre,Abx-Pancreatic
S731CT1-S34,0.0,776.0,0.0,0.0,0.0,39.0,9562.0,3770.0,1531.0,792.0,0.0,93.0,951.0,19.0,2.0,0.0,111.0,39.0,4835.0,0.0,1041.0,164.0,55.0,65.0,0.0,76.0,0.0,41.0,20.0,510.0,0.0,2164.0,WT,Pan-CT1,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT2-S35,0.0,1804.0,0.0,0.0,0.0,335.0,15328.0,3680.0,2355.0,263.0,0.0,674.0,6410.0,130.0,0.0,44.0,103.0,91.0,2362.0,7.0,746.0,42.0,46.0,31.0,0.0,706.0,0.0,40.0,97.0,93.0,0.0,841.0,WT,Pan-CT2,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT3-S36,93.0,1214.0,0.0,0.0,0.0,76.0,20312.0,0.0,0.0,0.0,112.0,497.0,3305.0,0.0,3739.0,915.0,812.0,0.0,6970.0,0.0,3025.0,128.0,67.0,0.0,0.0,241.0,0.0,62.0,0.0,0.0,7.0,0.0,WT,Pan-CT3,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT4-S37,0.0,1602.0,0.0,0.0,0.0,173.0,7862.0,4605.0,1064.0,439.0,0.0,368.0,4578.0,202.0,3.0,24.0,68.0,697.0,6543.0,3.0,643.0,545.0,183.0,220.0,0.0,40.0,0.0,0.0,64.0,42.0,0.0,300.0,WT,Pan-CT4,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT5-S38,0.0,2185.0,0.0,0.0,0.0,76.0,12405.0,0.0,0.0,0.0,0.0,2523.0,4193.0,0.0,241.0,219.0,789.0,0.0,1988.0,103.0,915.0,7.0,30.0,0.0,0.0,847.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT5,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT6-S39,31.0,1393.0,0.0,0.0,0.0,44.0,18685.0,0.0,0.0,0.0,0.0,1248.0,3599.0,0.0,357.0,464.0,613.0,0.0,5874.0,0.0,3466.0,22.0,35.0,0.0,0.0,438.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT6,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT7-S40,0.0,891.0,0.0,0.0,0.0,87.0,16205.0,13.0,0.0,0.0,229.0,458.0,5444.0,0.0,761.0,1260.0,197.0,0.0,7156.0,0.0,3174.0,53.0,84.0,0.0,0.0,508.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT7,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT8-S41,0.0,2650.0,0.0,0.0,0.0,57.0,17265.0,12.0,0.0,0.0,7.0,2730.0,5825.0,0.0,298.0,129.0,496.0,0.0,4028.0,0.0,826.0,0.0,15.0,0.0,0.0,412.0,0.0,0.0,0.0,0.0,0.0,0.0,WT,Pan-CT8,Pre-tumor,No,No,Pre,Abx-Pancreatic
S731CT9-S42,10.0,1264.0,0.0,0.0,0.0,136.0,15900.0,4361.0,713.0,251.0,0.0,196.0,5539.0,510.0,64.0,55.0,1340.0,435.0,5007.0,4.0,939.0,203.0,174.0,487.0,0.0,82.0,0.0,0.0,181.0,57.0,3.0,518.0,WT,Pan-CT9,Pre-tumor,No,No,Pre,Abx-Pancreatic
