Domain	Phylum	Class	Order	Family	Genus	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.110895659224831	0.00119021051848546	0.119021051848546	16
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM3A-S73	WT	MC38-SM4	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.461034434826208	0.00189276744439996	0.189276744439996	104
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM3C-S74	WT	MC38-SM5	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.482353781653339	0.00199284710236473	0.199284710236473	112
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM5A-S75	WT	MC38-SM6	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.505149978319906	0.002477426752114	0.2477426752114	121
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM5C-S76	WT	MC38-SM7	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.6232492903979	0.00298477088491673	0.298477088491673	176
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM6C-S77	WT	MC38-SM8	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.700546392570974	0.00363546635959862	0.363546635959862	221
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM7B-S78	WT	MC38-SM9	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.604029584190867	0.00332259162146474	0.332259162146474	166
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM7D-S79	WT	MC38-SM10	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.458294397460179	0.00208764035834448	0.208764035834448	103
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Eggerthellaceae	Enterorhabdus	POSTMC38SM8C-S80	WT	MC38-SM11	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Eggerthellaceae_/_Enterorhabdus	0.449969008676048	0.00190439916206437	0.190439916206437	100
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38CT2-S63	WT	MC38-CT2	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.5990887518122	0.088690872751499	8.8690872751499	2130
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38CT3-S64	WT	MC38-CT3	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.30221282294595	0.0639921841607132	6.39921841607132	1048
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38CT4-S65	WT	MC38-CT4	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.68468218505714	0.112550747171115	11.2550747171115	2606
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38CT5-S66	WT	MC38-CT5	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.33262205513369	0.0702060123233958	7.02060123233958	1128
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38CT6-S67	WT	MC38-CT6	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.37291200297011	0.0968521115786193	9.68521115786193	1243
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38CT8-S69	WT	MC38-CT8	Colon	No	None	Post	Control	171.36	38.83	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	0.94983339053427	0.0397623400365631	3.97623400365631	435
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38SM1D-S70	WT	MC38-SM1	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.34170424479087	0.0857695454883583	8.57695454883583	1153
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidaceae	Bacteroides	POSTMC38SM2E-S72	WT	MC38-SM3	Colon	Yes	None	Post	Smoke only	309.91	42.72	Abx-Colon	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales_/_Bacteroidaceae_/_Bacteroides	1.65618534849289	0.103892228332694	10.3892228332694	2437
