Domain	Phylum	Class	Order	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0.100670161881363	0.000185839063371121	0.0185839063371121	6
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0.470781076688643	0.00142171110830279	0.142171110830279	45
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0.291484677757751	0.000716705759708105	0.0716705759708105	22
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Micrococcales	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Micrococcales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.0696359281413944	0.000163158753467124	0.0163158753467124	4
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.12114574759116	0.00908326868373416	0.908326868373416	281
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.337242168318426	0.00184086725301698	0.184086725301698	27
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.787491276637787	0.00808551459503906	0.808551459503906	118
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.14206284703959	0.009678896082663	0.9678896082663	296
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.43276021064158	0.0174983230773718	1.74983230773718	600
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.20529853014147	0.0129753243831096	1.29753243831096	346
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.26461253135745	0.0145022115872671	1.45022115872671	400
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.14206284703959	0.00978350685837052	0.978350685837052	296
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.687490186652589	0.00303857972004097	0.303857972004097	89
