Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	3.10940979054637	0.372851859908636	37.2851859908636	10284
Bacteria	Bacteroidota	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Bacteroidota	3.18818997723689	0.407568996860023	40.7568996860023	12331
Bacteria	Bacteroidota	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota	0.709693869727792	0.00104258814608871	0.104258814608871	33
Bacteria	Bacteroidota	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota	0	0	0	0
Bacteria	Bacteroidota	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota	0.375663613960885	0.000358352879854053	0.0358352879854053	11
Bacteria	Bacteroidota	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota	0	0	0	0
Bacteria	Bacteroidota	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota	1.73138728316879	0.0199688429400935	1.99688429400935	423
Bacteria	Bacteroidota	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Bacteroidota	0	0	0	0
Bacteria	Bacteroidota	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.04178731897175	0.300443837487197	30.0443837487197	8800
Bacteria	Bacteroidota	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.01771139483371	0.326010338345865	32.6010338345865	8325
Bacteria	Bacteroidota	P113SM3-S174	WT	Bla-SM3	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.03482891565584	0.368119022316684	36.8119022316684	8660
Bacteria	Bacteroidota	P113SM4-S175	WT	Bla-SM4	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.18906900939932	0.414979009235936	41.4979009235936	12356
Bacteria	Bacteroidota	P113SM5-S176	WT	Bla-SM5	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.09091904613167	0.297249200699765	29.7249200699765	9855
Bacteria	Bacteroidota	P113SM6-S177	WT	Bla-SM6	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.07900025230385	0.396132870599901	39.6132870599901	9588
Bacteria	Bacteroidota	P113SM7-S178	WT	Bla-SM7	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	2.98878184345364	0.380719593273367	38.0719593273367	7788
Bacteria	Bacteroidota	P113SM8-S179	WT	Bla-SM8	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Bacteroidota	3.0442456889568	0.339679127964996	33.9679127964996	8850
Bacteria	Campilobacterota	P113ABX1-S180	WT	Bla-ABX1	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113ABX2-S181	WT	Bla-ABX2	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113ABX3-S182	WT	Bla-ABX3	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota	0.439332693830263	0.000697662829521104	0.0697662829521104	14
Bacteria	Campilobacterota	P113ABX4-S183	WT	Bla-ABX4	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113ABX5-S184	WT	Bla-ABX5	Bladder	No	Cocktail	Post	Antibiotic only	454.95	152.33	Abx-Bladder	Bacteria_/_Campilobacterota	0.966141732739033	0.00204422969708233	0.204422969708233	66
Bacteria	Campilobacterota	P113CT1-S164	WT	Bla-CT1	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113CT2-S165	WT	Bla-CT2	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0.210853365314893	0.000340901343151292	0.0340901343151292	5
Bacteria	Campilobacterota	P113CT3-S166	WT	Bla-CT3	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113CT4-S167	WT	Bla-CT4	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113CT5-S168	WT	Bla-CT5	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113CT6-S169	WT	Bla-CT6	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Campilobacterota	0	0	0	0
Bacteria	Campilobacterota	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Campilobacterota	0.676693609624867	0.000947807405535195	0.0947807405535195	30
