Domain	Phylum	Class	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	P113CT7-S170	WT	Bla-CT7	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.57244913671784	0.0145022115872671	1.45022115872671	400
Bacteria	Actinobacteriota	Coriobacteriia	P113CT8-S171	WT	Bla-CT8	Bladder	No	None	Post	Control	463.67	170.35	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.44574569031896	0.00978350685837052	0.978350685837052	296
Bacteria	Actinobacteriota	Coriobacteriia	P113SA1-S185	WT	Bla-SA1	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113SA2-S186	WT	Bla-SA2	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113SA3-S187	WT	Bla-SA3	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113SA4-S188	WT	Bla-SA4	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113SA5-S189	WT	Bla-SA5	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113SA6-S190	WT	Bla-SA6	Bladder	Yes	Cocktail	Post	Smoke+Antibiotic	446.19	113.81	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	P113SM1-S172	WT	Bla-SM1	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.958607314841775	0.00303857972004097	0.303857972004097	89
Bacteria	Actinobacteriota	Coriobacteriia	P113SM2-S173	WT	Bla-SM2	Bladder	Yes	None	Post	Smoke only	883.58	226.27	Abx-Bladder	Bacteria_/_Actinobacteriota_/_Coriobacteriia	0.833668578233475	0.0025062656641604	0.25062656641604	64
