SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Muribaculaceae	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales.f__Acholeplasmataceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Lactobacillaceae	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39.f__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014.f__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group.f__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales.f__Clostridiaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales.f__Monoglobaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Butyricicoccaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Ruminococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__UCG.010	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__.Eubacterium._coprostanoligenes_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales.f__Peptococcaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Peptostreptococcaceae	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales.f__Sutterellaceae	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales.f__Akkermansiaceae	Other
SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.452121725079829	0.0263917208479206	0	0	0.00457815565729235	0.40072327165006	0.0511676220520909	0	0	0.000846381718154888	0	0.0401261878197976	0	0	0.00427038048705421	0.00577078444196514	0	0.00165429154003001	0	0	0	0	0.00857923287038818	0.00377024583541723
SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.360583320027676	0.0953749534301985	0	0	0.00106445260524775	0.315982755867795	0.0334238118047794	0	0	0.00106445260524775	0	0.096120070253872	0	0	0.0732875618713077	0.00159667890787163	0	0.00154345627760924	0	0	0	0.000532226302623876	0.010431635531428	0.0089946245143435
SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.54310062274664	0.0241450890418442	0	0	0.0217779234495065	0.00477074911686514	0.0748752685822499	0	0.000509851050657344	0.0032047780327033	0	0.143377399031283	0	0	0.0807385556648093	0.0260388215157143	0	0.00345970355803197	0	0	0	0.000473433118467533	0.0500018208966095	0.0235259841946174
SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.426864834548514	0.0515423443634324	0	0	0.00291643297812675	0.437016264722378	0.0172742568704431	0	0	0	0	0.0173864273696018	0	0	0.00319685922602356	0.00151430173864274	0	0	0	0	0	0.000448681996634885	0.0374649467190129	0.00437464946719013
SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	0	0	0	0.745710230937944	0.00249430181051907	0	0	0.0224487162946717	0.00163419773792629	0.0460155678837139	0	0.000344041629037113	0.000602072850814949	0	0.0551756762568271	0	0.00288134864318583	0.0597342278415688	0.0105362748892616	0	0.00550466606459382	0	0	0	0	0.0264482002322281	0.0204704769277083
SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.00521528198908429	0.116009702850212	0.176955730745907	0	0.00976349302607641	0.00151607034566404	0.296664645239539	0.150515463917526	0.00151607034566404	0.0105518496058217	0.000303214069132808	0.00721649484536083	0.115221346270467	0	0.000363856882959369	0.0463917525773196	0.0184960582171013	0.000909642207398423	0.00642813826561552	0.000424499696785931	0	0	0.0129775621588842	0.00636749545178896	0.0161916312916919
SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.00474117494935563	0.165467005732512	0.170380587043662	0	0.0262919701736994	0.00146545407525538	0.188224645489419	0.151157277703547	0.00176716520839619	0.00482737813025301	0.000474117494935563	0.00521529244429119	0.15042455066592	0	0.00116374294211456	0.060557734580406	0.0237920779276755	0.00176716520839619	0.00827550536614801	0.000732727037627688	0.000646523856730313	0	0.0148269471143485	0.00254299383647257	0.0152579630188354
SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.0128689743045233	0.0912295604162243	0.17523890422595	0	0.00297303036738161	0.000934380972605649	0.0480356763644086	0.393501805054152	0.0240390741133999	0.0351667020598853	0.00284561478020811	0.0145678488001699	0.0710129539180293	0.00225100870673179	0	0.026375026544914	0.015374814185602	0	0.00310044595455511	0	0.000297303036738161	0.0151624548736462	0.00254831174346995	0.0120195370566999	0.050456572520705
SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.0103791569582716	0.116024147426393	0.171785638635882	0	0.0155157805549672	0.00227705994492692	0.0457000635458589	0.261703029019276	0.0232471933912307	0.0237237873331921	0.00307138318152934	0.0077314128362635	0.152192332133023	0.0040775259478924	0.00153569159076467	0.0859457742003813	0.030607922050413	0	0.00481889430205465	0.000900233001482737	0.000847278119042576	0.00630163101037916	0.00571912730353739	0.00630163101037916	0.0195933065028596
SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.00822037127769612	0.0658174097664544	0.173008873645816	0	0.00266753769938483	0.00315749360335348	0.292666993303936	0.282867875224563	0.000762153628395667	0.00789373400838369	0.000435516359083238	0.0080570526430399	0.0719690783385051	0	0	0.0243344765637759	0.0105068321628831	0.0010887908977081	0.00310305405846807	0.000381076814197833	0.000272197724427024	0	0.00266753769938483	0.00473624040503021	0.0353857041755131
SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.00936708860759494	0.0913924050632911	0.159746835443038	0	0.00345991561181435	0.00185654008438819	0.0832911392405063	0.410970464135021	0.0108860759493671	0.0239662447257384	0.00185654008438819	0.0156962025316456	0.0671729957805907	0.00886075949367089	0	0.0332489451476793	0.010126582278481	0	0.0020253164556962	0	0.000506329113924051	0.0253164556962025	0	0	0.040253164556962
SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.014592982678764	0.0658587653067699	0.164710361017702	0	0.0078040733455999	0	0.0524712898927733	0.4428653004251	0.0203667279994924	0.0218260262673688	0.0014592982678764	0.00805786434870884	0.0547554089207538	0.00551995431761944	0	0.0300107861176321	0.0125626546538925	0	0.00164964152020811	0	0.00050758200621788	0.0193515639870567	0.00101516401243576	0.00691580483471861	0.0676987500793097
SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.016448519633233	0.124308812206901	0.195072443480087	0	0.00377965983061524	0.000909918107370337	0.106250437460629	0.262686358227759	0.0201581857632813	0.0158185763281305	0.000629943305102541	0	0.127668509834115	0	0.000559949604535592	0.0527052565269126	0.024637782599566	0.000559949604535592	0.0104290613844754	0.000559949604535592	0	0	0.00622943935045846	0.00293973542381186	0.0276475117239448
SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.0110507498723128	0.137298602405163	0.173886799461392	0	0.00956493476343038	0.0102149788735664	0.306263639318382	0.0660259089009611	0	0.000742907554441194	0.00120722477596694	0	0.133398337744347	0	0.000650044110136045	0.0629149835167386	0.0313414124529879	0.00264660816269675	0.0116543622602962	0.00069647583228862	0.000650044110136045	0	0.0202906625806751	0.0104007057621767	0.00910061754190463
SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	0	0	0.00523610510640342	0.109862131911419	0.138252389873661	0	0.00883892972090119	0.00187346879953884	0.310611519431234	0.194504491521353	0.00139309218427247	0.00475572849113705	0.00115290387663929	0.00744583753662872	0.100783013882884	0	0.00076860258442619	0.0458759667579382	0.0194552529182879	0.00110486621511265	0.0054762934140366	0.000384301292213095	0	0	0.0103761348897536	0.00422731421434405	0.0276216553778162
