Domain	Phylum	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Bacteroidota	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.93314970953252	0.210272150603642	21.0272150603642	5138
Bacteria	Bacteroidota	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.81112797085232	0.198861596841188	19.8861596841188	3878
Bacteria	Bacteroidota	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.6234215952928	0.170404498949793	17.0404498949793	2515
Bacteria	Bacteroidota	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.63998424804159	0.230769230769231	23.0769230769231	2613
Bacteria	Bacteroidota	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.23451728351269	0.343595565647122	34.3595565647122	10290
Bacteria	Bacteroidota	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.03961238189672	0.346726504751848	34.6726504751848	6567
Bacteria	Bacteroidota	Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.95068931795633	0.265048303195442	26.5048303195442	5350
Bacteria	Bacteroidota	Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.11566597358382	0.313162844679233	31.3162844679233	7825
Bacteria	Bacteroidota	Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.14410697304932	0.290568268762607	29.0568268762607	8355
Bacteria	Bacteroidota	Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.15213539686188	0.322924571255122	32.2924571255122	8511
Bacteria	Bacteroidota	Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.12205196263325	0.291551933032272	29.1551933032272	7941
Bacteria	Bacteroidota	Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.95093250665997	0.230196955362518	23.0196955362518	5353
Bacteria	Bacteroidota	SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.32983839188387	0.450035112359551	45.0035112359551	12817
Bacteria	Bacteroidota	SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.38819004159985	0.719805577376276	71.9805577376276	14661
Bacteria	Bacteroidota	SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.31680875205302	0.47851344592775	47.851344592775	12438
Bacteria	Bacteroidota	SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.15498157334309	0.455958273457874	45.5958273457874	8567
Bacteria	Bacteroidota	SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.4144719496293	0.567245711788485	56.7245711788485	15576
Bacteria	Bacteroidota	SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.15310315603277	0.478407178911946	47.8407178911946	8530
Bacteria	Bacteroidota	SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.46249782423704	0.748204532748463	74.8204532748463	17398
Bacteria	Bacteroidota	SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.90642483700481	0.292965433596119	29.2965433596119	4831
Bacteria	Bacteroidota	SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.11383198046832	0.335847592776173	33.5847592776173	7792
Bacteria	Bacteroidota	SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.01980839335355	0.266468464642175	26.6468464642175	6274
Bacteria	Bacteroidota	SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.95752747552226	0.287809786062275	28.7809786062275	5435
Bacteria	Bacteroidota	SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.86460995288168	0.238826283412271	23.8826283412271	4387
Bacteria	Bacteroidota	SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.69635638873333	0.251139240506329	25.1139240506329	2976
Bacteria	Bacteroidota	SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.78295013326541	0.230569126324472	23.0569126324472	3634
Bacteria	Bacteroidota	SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.88166990767206	0.319381255686988	31.9381255686988	4563
Bacteria	Bacteroidota	SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	3.0484418035504	0.311185401866555	31.1185401866555	6702
Bacteria	Bacteroidota	SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Bacteroidota	2.93542328738843	0.24811452178508	24.811452178508	5165
Bacteria	Firmicutes	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.46404220543881	0.736584542693216	73.6584542693216	17460
Bacteria	Firmicutes	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.40767410922932	0.786036497847037	78.6036497847037	15334
Bacteria	Firmicutes	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.39328265055936	0.749570490146539	74.9570490146539	14834
Bacteria	Firmicutes	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.51901813058559	0.745756971361909	74.5756971361909	19817
Bacteria	Firmicutes	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.47455618262364	0.728605759439534	72.8605759439534	17888
Bacteria	Firmicutes	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.43912207574568	0.784151445966514	78.4151445966514	16486
Bacteria	Firmicutes	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.46768208471368	0.720564763658686	72.0564763658686	17607
Bacteria	Firmicutes	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.39712856805874	0.767447823188554	76.7447823188554	14966
Bacteria	Firmicutes	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Firmicutes	3.28499438672299	0.783183142489329	78.3183142489329	11559
Bacteria	Firmicutes	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.15806079393661	0.761988872207012	76.1988872207012	8628
Bacteria	Firmicutes	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.48501121457857	0.611860558301055	61.1860558301055	18324
Bacteria	Firmicutes	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.28205537068371	0.606177402323126	60.6177402323126	11481
Bacteria	Firmicutes	Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.37128341595953	0.698588060440921	69.8588060440921	14101
Bacteria	Firmicutes	Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.43835772780296	0.65862248369152	65.862248369152	16457
Bacteria	Firmicutes	Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.50295032530051	0.664151074633095	66.4151074633095	19097
Bacteria	Firmicutes	Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.46072248663423	0.657421460009106	65.7421460009106	17327
Bacteria	Firmicutes	Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.48120367692439	0.666886955244704	66.6886955244704	18164
Bacteria	Firmicutes	Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Firmicutes	3.44302817021485	0.715360798142255	71.5360798142255	16635
Bacteria	Firmicutes	SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	3.41100205257825	0.542556179775281	54.2556179775281	15452
Bacteria	Firmicutes	SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	2.92324401863028	0.246563236449332	24.6563236449332	5022
Bacteria	Firmicutes	SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	3.34373673472004	0.509137075366445	50.9137075366445	13234
Bacteria	Firmicutes	SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	3.21541723240608	0.52408324019373	52.408324019373	9847
Bacteria	Firmicutes	SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	3.21559350617082	0.358753050001821	35.8753050001821	9851
Bacteria	Firmicutes	SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	3.15391644181708	0.479304542905216	47.9304542905216	8546
Bacteria	Firmicutes	SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Firmicutes	2.90036712865647	0.204876790091601	20.4876790091601	4764
Bacteria	Firmicutes	SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.26296497758584	0.666282595512432	66.6282595512432	10987
Bacteria	Firmicutes	SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.38465204199903	0.626783328304814	62.6783328304814	14542
Bacteria	Firmicutes	SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.4105804210621	0.655638139732427	65.5638139732427	15437
Bacteria	Firmicutes	SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.32435105880181	0.670196992162677	67.0196992162677	12656
Bacteria	Firmicutes	SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.3374925392863	0.710163863030105	71.0163863030105	13045
Bacteria	Firmicutes	SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.14050804303818	0.699240506329114	69.9240506329114	8286
Bacteria	Firmicutes	SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.25167876892702	0.6792081720703	67.92081720703	10705
Bacteria	Firmicutes	SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.17459277363125	0.627353538181564	62.7353538181564	8963
Bacteria	Firmicutes	SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Firmicutes	3.3600250891894	0.637971862376375	63.7971862376375	13740
