Domain	Phylum	Class	Order	SampleID	MouseModel	MouseID	Cancer	SmokeExp	AntibioticExp	TumorImp	Treatment	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.41958863563451	0.019195072561593	1.9195072561593	455
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.54199503572741	0.0312179618618003	3.12179618618003	609
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.40082569690953	0.0219807983830217	2.19807983830217	435
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.01189922329971	0.0062845745681707	0.62845745681707	167
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.0831839885013	0.0081463076860413	0.81463076860413	200
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.02118929906994	0.00813356164383562	0.813356164383562	171
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.27492719309978	0.0131368937998772	1.31368937998772	321
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.964835582936749	0.00758935439208246	0.758935439208246	148
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.851937464544562	0.00745307947692933	0.745307947692933	110
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo5-S120	WT	SMK_Neo5	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo6-S125	WT	SMK_Neo6	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo7-S130	WT	SMK_Neo7	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK-Neo8-S135	WT	SMK_Neo8	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK1-S117	WT	SMK1	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.761760834195474	0.00521528198908429	0.521528198908429	86
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK10-S123	WT	SMK10	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.851937464544562	0.00474117494935563	0.474117494935563	110
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK11-S128	WT	SMK11	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.25123252730157	0.0128689743045233	1.28689743045233	303
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK2-S122	WT	SMK2	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.07514126824588	0.0103791569582716	1.03791569582716	196
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK3-S127	WT	SMK3	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.972614199510367	0.00822037127769612	0.822037127769612	151
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK4-S132	WT	SMK4	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.855317205195943	0.00936708860759494	0.936708860759494	111
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK5-S137	WT	SMK5	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.13917917572291	0.014592982678764	1.4592982678764	230
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK7-S108	WT	SMK7	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.14784801607251	0.016448519633233	1.6448519633233	235
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK8-S113	WT	SMK8	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	1.15296746020854	0.0110507498723128	1.10507498723128	238
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	SMK9-S118	WT	SMK9	Pancreatic	Yes	None	Post	Smoke only	332.25	70.83	Neo-Pancreatic	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales	0.848531215852651	0.00523610510640342	0.523610510640342	109
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL1-S106	WT	CTRL1	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.44638181222244	0.211483293958826	21.1483293958826	5013
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL10-S112	WT	CTRL10	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.23059082449403	0.155987287266762	15.5987287266762	3043
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL2-S111	WT	CTRL2	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.35378804482678	0.204497220818595	20.4497220818595	4047
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL3-S116	WT	CTRL3	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.50710592420866	0.217062431791668	21.7062431791668	5768
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL4-S121	WT	CTRL4	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.46463855909503	0.21298521445155	21.298521445155	5229
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL6-S131	WT	CTRL6	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.29299404006744	0.167237442922374	16.7237442922374	3516
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL7-S136	WT	CTRL7	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.45704040357806	0.210272150603642	21.0272150603642	5138
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL8-S141	WT	CTRL8	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.33534644310327	0.198861596841188	19.8861596841188	3878
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	CTRL9-S107	WT	CTRL9	Pancreatic	No	None	Post	Control	191.29	42.01	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.14836268468724	0.170404498949793	17.0404498949793	2515
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo1-S133	WT	Neo1	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.1648483429824	0.230769230769231	23.0769230769231	2613
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo2-S138	WT	Neo2	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.75790190477556	0.343595565647122	34.3595565647122	10290
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo3-S143	WT	Neo3	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.5632832741945	0.346726504751848	34.6726504751848	6567
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo4-S109	WT	Neo4	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.47454000205763	0.265048303195442	26.5048303195442	5350
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo5-S114	WT	Neo5	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.63920970990678	0.313162844679233	31.3162844679233	7825
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo6-S119	WT	Neo6	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.66760858610499	0.290568268762607	29.0568268762607	8355
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo7-S124	WT	Neo7	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.6756256093068	0.322924571255122	32.2924571255122	8511
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo8-S129	WT	Neo8	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.64558599959869	0.291551933032272	29.1551933032272	7941
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Neo9-S134	WT	Neo9	Pancreatic	No	Neomycin	Post	Neomycin only	NA	NA	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.47478264727219	0.230196955362518	23.0196955362518	5353
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SMK-Neo1-S139	WT	SMK_Neo1	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.85312336790416	0.450035112359551	45.0035112359551	12817
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SMK-Neo3-S110	WT	SMK_Neo3	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.91142396537629	0.719805577376276	71.9805577376276	14661
Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	SMK-Neo4-S115	WT	SMK_Neo4	Pancreatic	Yes	Neomycin	Post	Smoke+Neomycin	198.35	37.94	Neo-Pancreatic	Bacteria_/_Bacteroidota_/_Bacteroidia_/_Bacteroidales	2.84010609445676	0.47851344592775	47.851344592775	12438
