Domain	Phylum	Class	Order	Family	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	0.690813999718106	0.00220617202889035	0.220617202889035	168
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	0.434717406166575	0.00067853180388597	0.067853180388597	74
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	0.379368769125586	0.000564652738565782	0.0564652738565782	60
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.16241156176449	0.00575644880519069	0.575644880519069	582
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.58637793044477	0.0146618519661035	1.46618519661035	1616
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.98572926021336	0.0229034805726426	2.29034805726426	4118
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.56491367442871	0.0134055978844291	1.34055978844291	1536
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.6793433706325	0.0271261392439195	2.71261392439195	2012
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.57389658188949	0.01128841947738	1.128841947738	1569
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.98801940900104	0.0268458116643106	2.68458116643106	4140
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.83605902360743	0.0210143302541251	2.10143302541251	2905
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.84292837114574	0.0194671590609338	1.94671590609338	2952
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	1.97516453391045	0.019754081838339	1.9754081838339	4018
Bacteria	Actinobacteriota	Coriobacteriia	Coriobacteriales	Atopobiaceae	C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia_/_Coriobacteriales_/_Atopobiaceae	2.13877988439227	0.0295944115114001	2.95944115114001	5876
