Domain	Phylum	Class	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Coriobacteriia	B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.86923171973098	0.0105904540838532	1.05904540838532	1022
Bacteria	Actinobacteriota	Coriobacteriia	B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.01102640422804	0.0143353999697565	1.43353999697565	1422
Bacteria	Actinobacteriota	Coriobacteriia	B6-S15	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.92868840496694	0.0154169402495076	1.54169402495076	1174
Bacteria	Actinobacteriota	Coriobacteriia	B7-S16	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	1.95078197732982	0.0113333149946359	1.13333149946359	1236
Bacteria	Actinobacteriota	Coriobacteriia	B8-S17	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.10307032171287	0.0165725578769057	1.65725578769057	1761
Bacteria	Actinobacteriota	Coriobacteriia	B9-S18	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.26650048486614	0.0254391517645197	2.54391517645197	2572
Bacteria	Actinobacteriota	Coriobacteriia	C1-S20	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.16307614399217	0.0183636066704168	1.83636066704168	2024
Bacteria	Actinobacteriota	Coriobacteriia	C10-S29	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.68835624965657	0.0379147710208122	3.79147710208122	6817
Bacteria	Actinobacteriota	Coriobacteriia	C2-S21	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.11537273752004	0.0158144162542874	1.58144162542874	1812
Bacteria	Actinobacteriota	Coriobacteriia	C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.37514083992015	0.0445855578924662	4.45855578924662	3307
Bacteria	Actinobacteriota	Coriobacteriia	C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.48592413102757	0.0307355819039945	3.07355819039945	4272
Bacteria	Actinobacteriota	Coriobacteriia	C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.62465036049091	0.0381612564358619	3.81612564358619	5885
Bacteria	Actinobacteriota	Coriobacteriia	C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.57691695596521	0.0381296160996535	3.81296160996535	5271
Bacteria	Actinobacteriota	Coriobacteriia	C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.40127742398925	0.0231667106304405	2.31667106304405	3513
Bacteria	Actinobacteriota	Coriobacteriia	C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.55552628164751	0.0246655621162138	2.46655621162138	5017
Bacteria	Actinobacteriota	Coriobacteriia	C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Coriobacteriia	2.68714660361233	0.0342380547063475	3.42380547063475	6798
