Domain	Phylum	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.950510892986	0.046648557835733	4.6648557835733	8913
Bacteria	Actinobacteriota	D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	1.97772360528885	0.00864908632524245	0.864908632524245	940
Bacteria	Actinobacteriota	D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.9022749204745	0.062287169233653	6.2287169233653	7975
Bacteria	Actinobacteriota	E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.08314414314305	0.102571927504535	10.2571927504535	12100
Bacteria	Actinobacteriota	E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.08496928847499	0.107878475798146	10.7878475798146	12151
Bacteria	Actinobacteriota	E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.17698787480081	0.111923283261803	11.1923283261803	15021
Bacteria	Actinobacteriota	E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.11451090484887	0.105543744624223	10.5543744624223	13007
Bacteria	Actinobacteriota	E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.02180927702234	0.0991701989068149	9.91701989068149	10505
Bacteria	Actinobacteriota	E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.92438267720197	0.0835798300915275	8.35798300915275	8392
Bacteria	Actinobacteriota	E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	2.97127584873811	0.0959643648903851	9.59643648903851	9350
Bacteria	Actinobacteriota	E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.02518293433545	0.0838534406285642	8.38534406285642	10587
Bacteria	Actinobacteriota	E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota	3.09923161508088	0.100607313399353	10.0607313399353	12557
Bacteria	Bacteroidota	A2-S3	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.62479757896076	0.372488530995041	37.2488530995041	42140
Bacteria	Bacteroidota	A3-S4	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.54172897485029	0.344625439421696	34.4625439421696	34802
Bacteria	Bacteroidota	A4-S5	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.43370584475694	0.232697337392274	23.2697337392274	27136
Bacteria	Bacteroidota	A5-S6	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.57941772087326	0.349363546834301	34.9363546834301	37958
Bacteria	Bacteroidota	A6-S7	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.51153578634495	0.352417551401463	35.2417551401463	32464
Bacteria	Bacteroidota	A7-S8	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.31964728818342	0.249638092959263	24.9638092959263	20866
Bacteria	Bacteroidota	A8-S9	WT	NNK-free feces	Recipient	Post-tumor	Post-tumor NNK-free feces Recipient	357.88	99.15	NNK-FMT	Bacteria_/_Bacteroidota	3.42938079131048	0.308706093231148	30.8706093231148	26867
Bacteria	Bacteroidota	B1-S10	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.56779071053354	0.432581441899121	43.2581441899121	36955
Bacteria	Bacteroidota	B10-S19	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.61705278897821	0.425161508992122	42.5161508992122	41395
Bacteria	Bacteroidota	B2-S11	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.65297117201759	0.382882882882883	38.2882882882883	44965
Bacteria	Bacteroidota	B3-S12	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.65284562128087	0.405279671102456	40.5279671102456	44952
Bacteria	Bacteroidota	B4-S13	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.58806992318122	0.401255932519533	40.1255932519533	38722
Bacteria	Bacteroidota	B5-S14	WT	NNK-exposed feces	Recipient	Post-tumor	Post-tumor NNK-exposed feces Recipient	567.4	92.25	NNK-FMT	Bacteria_/_Bacteroidota	3.60003581211462	0.401270225313776	40.1270225313776	39804
