Domain	Phylum	Class	Order	SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	Taxon	NormalizedCounts	RelativeAbundance	PercentAbundance	RawCounts
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.308208580291105	0.000179457344147086	0.0179457344147086	31
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D4-S33	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.0910804693473326	4.54091363182272e-05	0.00454091363182272	7
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D5-S34	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D6-S35	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0	0	0	0
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D7-S36	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	1.87040390527903	0.0114933505000864	1.14933505000864	2196
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D8-S37	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	0.640150040936102	0.000929316722180306	0.0929316722180306	101
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	D9-S38	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.29446622616159	0.0459245837108313	4.59245837108313	5880
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E1-S40	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.48784512011144	0.0779461878846447	7.79461878846447	9195
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E10-S49	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.46731206298055	0.0778525515820874	7.78525515820874	8769
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E2-S41	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.57514934193709	0.0838176561754888	8.38176561754888	11249
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E3-S42	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.554044744941	0.0869374705853714	8.69374705853714	10714
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E5-S44	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.41630758705988	0.07357758498617	7.357758498617	7794
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E6-S45	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.31351570721204	0.0612009122869919	6.12009122869919	6145
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E7-S46	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.35717225772303	0.0697717382379506	6.97717382379506	6798
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E8-S47	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.4213845308147	0.0624603979216829	6.24603979216829	7886
Bacteria	Actinobacteriota	Actinobacteria	Bifidobacteriales	E9-S48	WT	NNK-free feces	Recipient	Pre-tumor	Pre-tumor NNK-free feces Recipient	NA	NA	NNK-FMT	Bacteria_/_Actinobacteriota_/_Actinobacteria_/_Bifidobacteriales	2.53999559471915	0.0831009838797551	8.31009838797551	10372
