index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
D9-S38,20.0,5880.0,2095.0,38738.0,2040.0,88.0,622.0,42782.0,34460.0,872.0,0.0,372.0,53.0,14.0,92.0,WT,Donor9,Yes,Donor,NA,NNK-FMT
E1-S40,132.0,9195.0,2905.0,34545.0,2253.0,437.0,251.0,58012.0,8603.0,57.0,6.0,1425.0,42.0,103.0,1076.0,WT,CtrlRec1,No,Recipient,Pre,NNK-FMT
E10-S49,212.0,8769.0,3382.0,28197.0,1467.0,117.0,602.0,49848.0,18260.0,399.0,130.0,1122.0,57.0,74.0,838.0,WT,CtrlRec10,No,Recipient,Pre,NNK-FMT
E2-S41,277.0,11249.0,3772.0,39500.0,2595.0,114.0,500.0,60246.0,12717.0,238.0,0.0,2878.0,95.0,27.0,331.0,WT,CtrlRec2,No,Recipient,Pre,NNK-FMT
E3-S42,0.0,10714.0,2293.0,30289.0,2556.0,145.0,654.0,52842.0,22726.0,336.0,0.0,458.0,56.0,169.0,1887.0,WT,CtrlRec3,No,Recipient,Pre,NNK-FMT
E5-S44,0.0,7794.0,2711.0,29213.0,88.0,0.0,211.0,48160.0,16036.0,29.0,51.0,1591.0,45.0,0.0,21.0,WT,CtrlRec5,No,Recipient,Pre,NNK-FMT
E6-S45,102.0,6145.0,2247.0,22343.0,1498.0,354.0,755.0,47458.0,17885.0,403.0,5.0,1047.0,61.0,104.0,1682.0,WT,CtrlRec6,No,Recipient,Pre,NNK-FMT
E7-S46,111.0,6798.0,2552.0,29124.0,2329.0,487.0,219.0,43353.0,10563.0,436.0,101.0,1250.0,91.0,18.0,280.0,WT,CtrlRec7,No,Recipient,Pre,NNK-FMT
E8-S47,152.0,7886.0,2701.0,25107.0,6464.0,1425.0,2150.0,39122.0,39627.0,338.0,61.0,688.0,72.0,463.0,5565.0,WT,CtrlRec8,No,Recipient,Pre,NNK-FMT
E9-S48,173.0,10372.0,2185.0,28837.0,3421.0,504.0,148.0,58562.0,18191.0,622.0,359.0,1166.0,155.0,117.0,1052.0,WT,CtrlRec9,No,Recipient,Pre,NNK-FMT
