index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Christensenellales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Eubacteriales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Enterobacterales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pasteurellales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,NNKexp,FMTstatus,TumorImp,Study
C4-S23,851.0,2736.0,4272.0,42794.0,0.0,0.0,2330.0,190.0,31227.0,6708.0,0.0,526.0,123.0,940.0,153.0,0.0,49.0,27501.0,0.0,4022.0,192.0,546.0,0.0,465.0,1087.0,0.0,0.0,127.0,77.0,12076.0,1039.0,WT,NNKRec4,Yes,Recipient,Pre,NNK-FMT
C5-S24,136.0,4883.0,5885.0,42327.0,0.0,0.0,1246.0,855.0,24641.0,13631.0,0.0,0.0,464.0,0.0,282.0,0.0,0.0,27139.0,0.0,841.0,0.0,0.0,0.0,4405.0,4174.0,183.0,158.0,153.0,17.0,22794.0,242.0,WT,NNKRec5,Yes,Recipient,Pre,NNK-FMT
C6-S25,105.0,5814.0,5271.0,40663.0,0.0,0.0,478.0,616.0,31266.0,7357.0,46.0,0.0,264.0,0.0,78.0,0.0,0.0,25255.0,0.0,1322.0,0.0,6.0,0.0,3119.0,3202.0,0.0,0.0,53.0,7.0,13317.0,69.0,WT,NNKRec6,Yes,Recipient,Pre,NNK-FMT
C7-S26,0.0,3441.0,3513.0,44702.0,0.0,0.0,369.0,258.0,6102.0,17650.0,0.0,0.0,1066.0,0.0,192.0,0.0,0.0,41723.0,0.0,1171.0,0.0,61.0,0.0,3423.0,1902.0,644.0,0.0,0.0,0.0,25423.0,20.0,WT,NNKRec7,Yes,Recipient,Pre,NNK-FMT
C8-S27,68.0,3857.0,5017.0,60060.0,0.0,0.0,6669.0,1864.0,7776.0,10267.0,0.0,0.0,1263.0,0.0,2955.0,0.0,0.0,53619.0,0.0,3140.0,0.0,779.0,0.0,6392.0,2869.0,1060.0,17.0,0.0,338.0,35391.0,5056.0,WT,NNKRec8,Yes,Recipient,Pre,NNK-FMT
C9-S28,0.0,4953.0,6798.0,60680.0,0.0,0.0,5108.0,127.0,9987.0,19763.0,0.0,0.0,574.0,0.0,337.0,0.0,0.0,50181.0,0.0,948.0,0.0,342.0,0.0,4083.0,2525.0,480.0,4.0,0.0,557.0,31104.0,5646.0,WT,NNKRec9,Yes,Recipient,Pre,NNK-FMT
D1-S30,0.0,0.0,1922.0,63028.0,0.0,0.0,0.0,0.0,1967.0,5111.0,0.0,0.0,0.0,0.0,1248.0,0.0,0.0,58000.0,0.0,13405.0,92.0,1026.0,0.0,0.0,347.0,0.0,0.0,0.0,0.0,20682.0,0.0,WT,Donor1,Yes,Donor,NA,NNK-FMT
D10-S39,0.0,31.0,2956.0,29220.0,8668.0,2202.0,636.0,0.0,1105.0,48053.0,48.0,0.0,24.0,85.0,359.0,2173.0,5.0,61765.0,47.0,12355.0,441.0,576.0,870.0,0.0,47.0,0.0,0.0,111.0,966.0,0.0,12645.0,WT,Donor10,Yes,Donor,NA,NNK-FMT
D2-S31,0.0,0.0,1262.0,68722.0,0.0,0.0,0.0,0.0,156.0,39365.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,36256.0,0.0,7193.0,109.0,438.0,0.0,0.0,893.0,0.0,0.0,0.0,0.0,72.0,0.0,WT,Donor2,Yes,Donor,NA,NNK-FMT
D3-S32,0.0,0.0,2034.0,71152.0,0.0,0.0,0.0,0.0,486.0,45162.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,37589.0,0.0,5161.0,116.0,556.0,0.0,0.0,1184.0,0.0,0.0,0.0,0.0,135.0,0.0,WT,Donor3,Yes,Donor,NA,NNK-FMT
D4-S33,0.0,7.0,1725.0,38763.0,0.0,0.0,0.0,0.0,12339.0,46118.0,0.0,1025.0,62.0,5331.0,527.0,1854.0,0.0,22068.0,0.0,6564.0,65.0,1725.0,0.0,0.0,392.0,0.0,0.0,0.0,0.0,15589.0,0.0,WT,Donor4,Yes,Donor,NA,NNK-FMT
D5-S34,0.0,0.0,1089.0,39197.0,0.0,0.0,0.0,26.0,17917.0,15185.0,0.0,1324.0,0.0,3807.0,1769.0,352.0,0.0,18992.0,0.0,12509.0,57.0,1413.0,0.0,0.0,558.0,0.0,0.0,0.0,0.0,9.0,0.0,WT,Donor5,Yes,Donor,NA,NNK-FMT
D6-S35,0.0,0.0,1085.0,51248.0,0.0,0.0,0.0,45.0,11816.0,31372.0,0.0,622.0,83.0,9812.0,134.0,1541.0,0.0,20972.0,0.0,10572.0,105.0,2165.0,0.0,2.0,726.0,0.0,0.0,0.0,0.0,30132.0,0.0,WT,Donor6,Yes,Donor,NA,NNK-FMT
D7-S36,34.0,2196.0,6717.0,66841.0,4398.0,216.0,1484.0,0.0,6349.0,37462.0,194.0,2.0,34.0,266.0,455.0,723.0,98.0,45696.0,108.0,13812.0,533.0,591.0,933.0,769.0,1018.0,0.0,0.0,97.0,23.0,18.0,358.0,WT,Donor7,Yes,Donor,NA,NNK-FMT
D8-S37,0.0,101.0,839.0,37327.0,12021.0,3697.0,404.0,0.0,1203.0,20345.0,100.0,0.0,22.0,27.0,342.0,501.0,6.0,26171.0,16.0,4484.0,68.0,298.0,256.0,0.0,60.0,0.0,0.0,106.0,286.0,2.0,2475.0,WT,Donor8,Yes,Donor,NA,NNK-FMT
D9-S38,20.0,5880.0,2095.0,38738.0,2040.0,88.0,622.0,0.0,5099.0,35985.0,42.0,1656.0,43.0,791.0,268.0,287.0,18.0,26086.0,70.0,6304.0,214.0,379.0,872.0,0.0,372.0,0.0,0.0,53.0,14.0,0.0,92.0,WT,Donor9,Yes,Donor,NA,NNK-FMT
E1-S40,132.0,9195.0,2905.0,34545.0,2253.0,437.0,251.0,71.0,15390.0,42451.0,100.0,0.0,0.0,111.0,51.0,0.0,0.0,6784.0,13.0,947.0,37.0,660.0,57.0,6.0,1425.0,0.0,0.0,42.0,101.0,2.0,1076.0,WT,CtrlRec1,No,Recipient,Pre,NNK-FMT
E10-S49,212.0,8769.0,3382.0,28197.0,1467.0,117.0,602.0,113.0,24603.0,24757.0,83.0,292.0,6.0,358.0,76.0,34.0,7.0,13230.0,30.0,2927.0,127.0,1465.0,399.0,130.0,1122.0,0.0,0.0,57.0,74.0,0.0,838.0,WT,CtrlRec10,No,Recipient,Pre,NNK-FMT
E2-S41,277.0,11249.0,3772.0,39500.0,2595.0,114.0,500.0,5.0,32234.0,27882.0,125.0,0.0,13.0,96.0,49.0,0.0,0.0,10009.0,44.0,1846.0,128.0,532.0,238.0,0.0,2878.0,0.0,0.0,95.0,27.0,0.0,331.0,WT,CtrlRec2,No,Recipient,Pre,NNK-FMT
E3-S42,0.0,10714.0,2293.0,30289.0,2556.0,145.0,654.0,25.0,15654.0,37114.0,9.0,40.0,10.0,1858.0,54.0,180.0,5.0,15548.0,41.0,4636.0,184.0,210.0,336.0,0.0,458.0,0.0,0.0,56.0,169.0,0.0,1887.0,WT,CtrlRec3,No,Recipient,Pre,NNK-FMT
E5-S44,0.0,7794.0,2711.0,29213.0,88.0,0.0,211.0,0.0,22348.0,25768.0,44.0,0.0,14.0,0.0,0.0,0.0,15.0,13758.0,47.0,1555.0,85.0,562.0,29.0,51.0,1591.0,0.0,0.0,45.0,0.0,0.0,21.0,WT,CtrlRec5,No,Recipient,Pre,NNK-FMT
E6-S45,102.0,6145.0,2247.0,22343.0,1498.0,354.0,755.0,0.0,23565.0,23776.0,13.0,104.0,13.0,501.0,96.0,55.0,16.0,13812.0,24.0,3003.0,155.0,210.0,403.0,5.0,1047.0,0.0,0.0,61.0,104.0,0.0,1682.0,WT,CtrlRec6,No,Recipient,Pre,NNK-FMT
E7-S46,111.0,6798.0,2552.0,29124.0,2329.0,487.0,219.0,751.0,19882.0,22599.0,21.0,100.0,12.0,543.0,80.0,235.0,15.0,8161.0,18.0,1209.0,33.0,257.0,436.0,101.0,1250.0,0.0,0.0,91.0,18.0,0.0,280.0,WT,CtrlRec7,No,Recipient,Pre,NNK-FMT
E8-S47,152.0,7886.0,2701.0,25107.0,6464.0,1425.0,2150.0,464.0,18293.0,19915.0,43.0,407.0,8.0,388.0,111.0,0.0,26.0,31852.0,109.0,6497.0,328.0,308.0,338.0,61.0,688.0,0.0,0.0,72.0,463.0,0.0,5565.0,WT,CtrlRec8,No,Recipient,Pre,NNK-FMT
E9-S48,173.0,10372.0,2185.0,28837.0,3421.0,504.0,148.0,471.0,26425.0,31144.0,131.0,391.0,19.0,416.0,63.0,0.0,21.0,12284.0,34.0,1913.0,63.0,3378.0,622.0,359.0,1166.0,0.0,0.0,155.0,117.0,0.0,1052.0,WT,CtrlRec9,No,Recipient,Pre,NNK-FMT
