index,Unassigned;__;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria;o__Bifidobacteriales,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales,d__Bacteria;p__Campilobacterota;c__Campylobacteria;o__Campylobacterales,d__Bacteria;p__Deferribacterota;c__Deferribacteres;o__Deferribacterales,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia;o__Desulfovibrionales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Acholeplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales,d__Bacteria;p__Firmicutes;c__Bacilli;o__Mycoplasmatales,d__Bacteria;p__Firmicutes;c__Bacilli;o__RF39,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_UCG-014,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridia_vadinBB60_group,d__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Lachnospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Monoglobales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Oscillospirales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptococcales,d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales,d__Bacteria;p__Patescibacteria;c__Saccharimonadia;o__Saccharimonadales,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhodospirillales,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae;o__Chlamydiales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Opitutales,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae;o__Verrucomicrobiales,d__Eukaryota;p__Parabasalia;__;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PostsmkFMT6-S129,9.0,2115.0,540.0,26444.0,5096.0,3125.0,598.0,0.0,514.0,5076.0,169.0,52.0,0.0,73.0,199.0,0.0,9197.0,0.0,2120.0,360.0,86.0,120.0,11.0,1352.0,42.0,225.0,0.0,9091.0,WT,FMT-SR6,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT7-S130,6.0,823.0,33.0,13067.0,6235.0,0.0,663.0,0.0,90.0,654.0,12.0,0.0,0.0,0.0,81.0,0.0,10657.0,0.0,1639.0,217.0,99.0,22.0,312.0,85.0,408.0,63.0,0.0,3727.0,WT,FMT-SR7,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT8-S131,6.0,378.0,244.0,23071.0,4454.0,826.0,583.0,0.0,967.0,615.0,184.0,0.0,0.0,73.0,92.0,0.0,10659.0,0.0,1209.0,396.0,57.0,51.0,688.0,260.0,98.0,6.0,0.0,469.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PostsmkFMT9-S132,20.0,2217.0,191.0,23398.0,2756.0,619.0,415.0,0.0,260.0,7092.0,172.0,0.0,0.0,62.0,196.0,222.0,9234.0,0.0,1726.0,300.0,51.0,154.0,0.0,750.0,667.0,15.0,0.0,1133.0,WT,FMT-SR9,Pancreatic,Yes,Recipient,Post,Smoke-FMT
PrecntrlFMT1-S100,40.0,484.0,118.0,25586.0,8200.0,0.0,1377.0,8.0,1021.0,2189.0,14.0,442.0,11.0,144.0,1155.0,64.0,14129.0,0.0,3052.0,769.0,568.0,515.0,166.0,121.0,0.0,0.0,1049.0,42.0,WT,FMT-CR1,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT2-S101,76.0,1290.0,146.0,23960.0,4772.0,10.0,753.0,54.0,1128.0,2259.0,44.0,872.0,21.0,1155.0,436.0,124.0,14548.0,3.0,3363.0,412.0,374.0,364.0,33.0,209.0,30.0,8.0,105.0,583.0,WT,FMT-CR2,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT3-S102,0.0,519.0,123.0,21687.0,1493.0,0.0,324.0,46.0,1224.0,3703.0,166.0,436.0,12.0,458.0,630.0,106.0,9519.0,7.0,1391.0,134.0,285.0,241.0,69.0,72.0,0.0,2.0,6.0,7.0,WT,FMT-CR3,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT4-S103,19.0,896.0,148.0,20374.0,1683.0,0.0,164.0,56.0,1163.0,2569.0,117.0,931.0,8.0,733.0,1267.0,164.0,10296.0,0.0,1083.0,130.0,646.0,502.0,64.0,111.0,0.0,0.0,9.0,40.0,WT,FMT-CR4,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT5-S104,56.0,857.0,215.0,29011.0,6583.0,0.0,2097.0,187.0,1846.0,2502.0,34.0,202.0,4.0,1045.0,874.0,58.0,11500.0,16.0,2092.0,453.0,763.0,777.0,94.0,118.0,0.0,0.0,103.0,0.0,WT,FMT-CR5,Pancreatic,No,Recipient,Pre,Smoke-FMT
PrecntrlFMT6-S105,473.0,1290.0,211.0,26513.0,1715.0,0.0,938.0,4.0,2254.0,2951.0,74.0,142.0,7.0,199.0,376.0,737.0,16006.0,0.0,3801.0,387.0,727.0,1066.0,92.0,301.0,0.0,0.0,30.0,0.0,WT,FMT-CR6,Pancreatic,No,Recipient,Pre,Smoke-FMT
