index,Unassigned;__;__,d__Bacteria;p__Actinobacteriota;c__Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia,d__Bacteria;p__Bacteroidota;c__Bacteroidia,d__Bacteria;p__Campilobacterota;c__Campylobacteria,d__Bacteria;p__Deferribacterota;c__Deferribacteres,d__Bacteria;p__Desulfobacterota;c__Desulfovibrionia,d__Bacteria;p__Firmicutes;c__Bacilli,d__Bacteria;p__Firmicutes;c__Clostridia,d__Bacteria;p__Patescibacteria;c__Saccharimonadia,d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,d__Bacteria;p__Verrucomicrobiota;c__Chlamydiae,d__Bacteria;p__Verrucomicrobiota;c__Verrucomicrobiae,d__Eukaryota;p__Parabasalia;__,MouseModel,MouseID,Cancer,SmokeExp,FMTstatus,TumorImp,Study
PresmokeFMT1-S108,46.0,948.0,141.0,12341.0,3455.0,752.0,171.0,2707.0,11158.0,0.0,0.0,380.0,147.0,309.0,5569.0,WT,FMT-SR1,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT2-S109,43.0,761.0,180.0,15253.0,2333.0,288.0,628.0,3797.0,15566.0,0.0,0.0,494.0,268.0,12.0,1494.0,WT,FMT-SR2,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT3-S110,7.0,751.0,97.0,10560.0,3800.0,486.0,477.0,3673.0,10790.0,0.0,0.0,467.0,74.0,44.0,1468.0,WT,FMT-SR3,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT4-S111,74.0,702.0,189.0,15226.0,3987.0,32.0,657.0,3373.0,12465.0,0.0,29.0,299.0,185.0,64.0,3872.0,WT,FMT-SR4,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT5-S112,30.0,1282.0,97.0,18418.0,5529.0,242.0,551.0,3500.0,10074.0,0.0,0.0,215.0,326.0,136.0,4352.0,WT,FMT-SR5,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT6-S113,9.0,1789.0,85.0,16237.0,4085.0,28.0,270.0,2318.0,10278.0,22.0,41.0,147.0,162.0,48.0,1166.0,WT,FMT-SR6,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT7-S114,0.0,1596.0,154.0,13389.0,3203.0,172.0,255.0,6964.0,10272.0,37.0,5.0,731.0,88.0,0.0,466.0,WT,FMT-SR7,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
PresmokeFMT8-S115,15.0,464.0,157.0,9959.0,2941.0,96.0,248.0,3046.0,12109.0,23.0,0.0,264.0,135.0,23.0,1253.0,WT,FMT-SR8,Pancreatic,Yes,Recipient,Pre,Smoke-FMT
Smokedonor1-S92,31.0,1044.0,164.0,18363.0,818.0,0.0,206.0,5151.0,17097.0,81.0,13.0,440.0,0.0,225.0,0.0,WT,FMT-SD1,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor2-S93,9.0,217.0,38.0,11274.0,13.0,0.0,11.0,2678.0,14879.0,5.0,0.0,226.0,0.0,3.0,0.0,WT,FMT-SD2,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor3-S94,22.0,1075.0,132.0,15795.0,118.0,0.0,152.0,4733.0,16706.0,71.0,201.0,199.0,0.0,18.0,0.0,WT,FMT-SD3,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor4-S95,85.0,359.0,41.0,11502.0,49.0,0.0,134.0,3364.0,15407.0,40.0,28.0,55.0,0.0,5.0,0.0,WT,FMT-SD4,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor5-S96,19.0,1065.0,111.0,20806.0,127.0,20.0,6.0,3695.0,24889.0,0.0,0.0,538.0,0.0,87.0,476.0,WT,FMT-SD5,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor6-S97,14.0,1692.0,232.0,27798.0,7.0,0.0,0.0,10197.0,21183.0,0.0,0.0,788.0,0.0,0.0,0.0,WT,FMT-SD6,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor7-S98,44.0,1017.0,71.0,22973.0,432.0,39.0,103.0,5769.0,27403.0,13.0,0.0,175.0,17.0,60.0,273.0,WT,FMT-SD7,NA,Yes,Donor,NA,Smoke-FMT
Smokedonor8-S99,5.0,1609.0,176.0,23529.0,552.0,42.0,77.0,8097.0,21421.0,0.0,4.0,443.0,24.0,10.0,384.0,WT,FMT-SD8,NA,Yes,Donor,NA,Smoke-FMT
