SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales.f__Bifidobacteriaceae.g__Bifidobacterium.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Atopobiaceae.g__Olsenella.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.__.__	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales.f__Eggerthellaceae.g__Enterorhabdus.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Bacteroidaceae.g__Bacteroides.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Prevotellaceae.g__Prevotella.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Rikenellaceae.g__Alistipes.__	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales.f__Tannerellaceae.g__Parabacteroides.__	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales.f__Helicobacteraceae.g__Helicobacter.__	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales.f__Desulfovibrionaceae.g__Desulfovibrio.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelatoclostridiaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.__.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales.f__Erysipelotrichaceae.g__Erysipelothrix.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Enterococcaceae.g__Enterococcus.__	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales.f__Streptococcaceae.g__Streptococcus.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales.f__Anaerofustaceae.g__Anaerofustis.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales.f__Lachnospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales.f__Oscillospiraceae.__.__	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales.f__Anaerovoracaceae.g__Family_XIII_AD3011_group.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales.f__Enterobacteriaceae.g__Enterobacter.__	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales.f__Pasteurellaceae.g__Rodentibacter.__	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales.f__Chlamydiaceae.g__Chlamydia.__	Other
C3-S22	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0266812274173543	0.0271261392439195	0	0	0	0	0	0	0	0	0.00159089683438494	0	0	0	0	0	0.0661974869222887	0	0.000215714825001348	0	0	0.00110553847813191	0.877082996278919
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0196845861632324	0.01128841947738	0.00208645101876367	0.000115114538966271	0	0	0	0	0	0	0.000719465868539196	0	0	0	0	0.000352538275584206	0.000741049844595372	0.001431737078393	0.000273397030044895	0	0	0.00091372165304478	0.962393519051456
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0316637918736302	0.0268458116643106	6.48449557108952e-05	0	0	0	0	0	0	0	0.00573877858041423	0	0	0.00286614704242157	0	0	0.126972907777504	0	0	0.00118666268950938	0.00102455030023214	0.000992127822376697	0.80264437729389
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0420575959027481	0.0210143302541251	0.000614877133081113	0	0	0	0	0	0	0	0.00245227468369997	0	0	0.00143953587627225	0	0	0.103552543059484	0	4.34030917469021e-05	0	0	0.000383393977097635	0.828442046021745
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0226919018728568	0.0194671590609338	0.000276971775257188	0	0	0	0	0	0	0	0	0	0	0.00501846478501715	0	0	0.216605117383276	0	0	0.00424690055394355	0	0	0.731693484568715
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0189625419737366	0.019754081838339	0.000211405057005619	0	0	1.96655866981972e-05	0	0	0	0	8.35787434673379e-05	0	0	0.0062143253966303	0	0	0.176311817542687	0	0	0.00521138047502225	8.35787434673379e-05	0	0.773147624642947
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0249457318270872	0.0295944115114001	0.000246787978907183	0	0	0	0	0	0	0	0	0	0	0.0032586086194479	0	0	0.223584872400542	0	0	0.0024175148954173	2.01459574618108e-05	0	0.715931926809736
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0.0024696094180833	0.00155849138034383	0.00290718584410291	7.19303714004843e-05	0	0	0.000797228283022035	0.0113709928788932	0.000269738892751816	0	0	0	0.980554822931402
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.000179457344147086	0	0.00130830192829811	0.000243135756586374	0.000202613130488645	0.0480135229792235	0.000908864613906207	0.000312603115611052	0.0501785890021593	0.00237346810000984	0.00103043249219939	0.000185246290732475	0.00352546847050242	0	0.000995698812687055	2.89447329269493e-05	0.00437644361855473	0.00361809161586866	4.0522626097729e-05	0	0	0.000642573070978274	0.881836022299022
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000187732642822463	0	0	0.000608512704321088	0.00262825699951448	0	0	0	0	0.996575497653342
