SampleID	MouseModel	SmokeExposure	FMTstatus	TumorStatus	FullMouseDescription	TumorWeight_avg	TumorWeight_sd	Study	d__Bacteria.p__Actinobacteriota.c__Actinobacteria.o__Bifidobacteriales	d__Bacteria.p__Actinobacteriota.c__Coriobacteriia.o__Coriobacteriales	d__Bacteria.p__Bacteroidota.c__Bacteroidia.o__Bacteroidales	d__Bacteria.p__Campilobacterota.c__Campylobacteria.o__Campylobacterales	d__Bacteria.p__Deferribacterota.c__Deferribacteres.o__Deferribacterales	d__Bacteria.p__Desulfobacterota.c__Desulfovibrionia.o__Desulfovibrionales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Acholeplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Erysipelotrichales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Lactobacillales	d__Bacteria.p__Firmicutes.c__Bacilli.o__Mycoplasmatales	d__Bacteria.p__Firmicutes.c__Bacilli.o__RF39	d__Bacteria.p__Firmicutes.c__Clostridia.o__Christensenellales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_UCG.014	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridia_vadinBB60_group	d__Bacteria.p__Firmicutes.c__Clostridia.o__Clostridiales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Eubacteriales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Lachnospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Monoglobales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Oscillospirales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptococcales	d__Bacteria.p__Firmicutes.c__Clostridia.o__Peptostreptococcales.Tissierellales	d__Bacteria.p__Patescibacteria.c__Saccharimonadia.o__Saccharimonadales	d__Bacteria.p__Proteobacteria.c__Alphaproteobacteria.o__Rhodospirillales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Burkholderiales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Enterobacterales	d__Bacteria.p__Proteobacteria.c__Gammaproteobacteria.o__Pasteurellales	d__Bacteria.p__Verrucomicrobiota.c__Chlamydiae.o__Chlamydiales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Opitutales	d__Bacteria.p__Verrucomicrobiota.c__Verrucomicrobiae.o__Verrucomicrobiales	Other
C4-S23	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0196845861632324	0.0307355819039945	0.307888223782664	0	0	0.0167635547369633	0.00136698515022447	0.224667606768735	0.0482617704616093	0	0.00378439046851617	0.000884943018303212	0.00676297916426845	0.00110078277886497	0	0.000352538275584206	0.197860308506964	0	0.0289369172326465	0.00138137446759526	0.00392828364222401	0	0.00334551628870726	0.00782059399102107	0	0	0.00091372165304478	0.000553988718775181	0.0868826982847934	0.00612265454126856
C5-S24	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0316637918736302	0.0381612564358619	0.274469244037506	0	0	0.00807968148157755	0.00554424371328154	0.159784455367217	0.0883901591295213	0	0	0.00300880594498554	0	0.00182862775104725	0	0	0.175982725303799	0	0.00545346077528629	0	0	0	0.0285642029906494	0.0270662845137277	0.00118666268950938	0.00102455030023214	0.000992127822376697	0.000110236424708522	0.147807592047415	0.000881891397668175
C6-S25	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0420575959027481	0.0381296160996535	0.29414998661738	0	0	0.0034577796425032	0.00445605075268195	0.226173511093107	0.0532194243303265	0.000332757036726249	0	0.00190973603686369	0	0.000564240192709727	0	0	0.182690847011335	0	0.00956314788156743	0	4.34030917469021e-05	0	0.0225623738597646	0.0231627832955968	0	0	0.000383393977097635	5.06369403713858e-05	0.0963331621322492	0.000759554105570787
C7-S26	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0226919018728568	0.0231667106304405	0.294790292798734	0	0	0.00243339488261672	0.00170139804800844	0.0402400422052229	0.116394091268795	0	0	0.00702980743867054	0	0.00126615668689	0	0	0.275145080453706	0	0.00772223687681351	0	0.000402268530730678	0	0.0225731996834608	0.0125428646795041	0.00424690055394355	0	0	0	0.167653653389607	0
C8-S27	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0189625419737366	0.0246655621162138	0.29527878427343	0	0	0.0327874494225692	0.00916416340135988	0.0382299005412953	0.0504766446575976	0	0	0.00620940899995575	0	0.0145279521732931	0	0	0.263612273292658	0	0.0154374855580848	0	0.0038298730094739	0	0.0314256075437191	0.0141051420592819	0.00521138047502225	8.35787434673379e-05	0	0.00166174207599766	0.173996194708974	0.000334314973869352
C9-S28	WT	NNK-exposed feces	Recipient	Pre-tumor	Pre-tumor NNK-exposed feces Recipient	NA	NA	NNK-FMT	0.0249457318270872	0.0342380547063475	0.30561417469567	0	0	0.0257263876787324	0.000639634149412493	0.0502994192927762	0.0995361393294418	0	0	0.00289094489576985	0	0.00169729691615756	0	0	0.252736072847782	0	0.00477459191844916	0	0.00172247936298482	0	0.0205639860791434	0.0127171356477681	0.0024175148954173	2.01459574618108e-05	0	0.00280532457655716	0.156654965223041	0
D1-S30	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.0115208478193109	0.377802287385811	0	0	0	0	0.0117905867120627	0.0306363440189896	0	0	0	0	0.00748075862565037	0	0	0.347663461769008	0	0.0803522190519577	0.000551466180737047	0.00615004675474141	0	0	0.00207998657299734	0	0	0	0	0.123971995108735	0
D10-S39	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0.000179457344147086	0.0171121261064124	0.169153019225092	0.0501785890021593	0.0127472603810285	0.00368177002830795	0	0.00639678597685579	0.278176250267739	0.000277869436098713	0	0.000138934718049357	0.000492060459758138	0.00207823182415496	0.0125793809300522	2.89447329269493e-05	0.357554285846604	0.000272080489513323	0.0715224350624917	0.00255292544415693	0.00333443323318456	0.00503638352928918	0	0.000272080489513323	0	0	0.000642573070978274	0.0055921224014866	0	0
D2-S31	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.00816960673248098	0.444874575173976	0	0	0	0	0.0010098721475967	0.254830878782975	0	0	0	0	5.82618546690403e-05	0	0	0.234704644764525	0	0.0465641689593785	0.000705615795436155	0.00283541026055996	0	0	0.00578087069105033	0	0	0	0	0.000466094837352322	0
D3-S32	WT	NNK-exposed	Donor	Tumor-naive	Tumor-naive NNK-exposed Donor	NA	NA	NNK-FMT	0	0.0124339788732394	0.43495696400626	0	0	0	0	0.00297095070422535	0.276078345070423	0	0	0	0	5.50176056338028e-05	0	0	0.229784086463224	0	0.0315495402973396	0.000709115805946792	0.00339886541471049	0	0	0.00723787167449139	0	0	0	0	0.000825264084507042	0
